year,muq_weighted,country
2012,0.05699320191139153,France
2013,0.07138956779387078,France
2014,0.07283492837367701,France
2015,0.10495876093497343,France
2016,0.0646478388911023,France
2017,0.12242312382867998,France
2018,0.12432868692257966,France
2019,0.1413160771941448,France
2020,-0.22171120902045843,France
2021,0.3227209908566956,France
2022,0.234072676245404,France
2023,0.26910022784110965,France
2001,0.1392629460166591,Germany
2002,0.06294142327160906,Germany
2003,0.040424746902733885,Germany
2004,0.1209548814597423,Germany
2005,0.07486152770476734,Germany
2006,0.21277338933593132,Germany
2007,0.23152246880776073,Germany
2008,0.09104337246250731,Germany
2009,-0.20286588101008843,Germany
2010,0.24172531043298306,Germany
2011,0.23953623132006016,Germany
2012,0.09369942985536257,Germany
2013,0.11974929709052712,Germany
2014,0.1998452594326694,Germany
2015,0.16823624263679451,Germany
2016,0.16891451063898635,Germany
2017,0.2054876424184084,Germany
2018,0.14117069545559174,Germany
2019,0.13799503601939112,Germany
2020,-0.11753284253985367,Germany
2021,0.2969581204525787,Germany
2022,0.3563096953938621,Germany
2023,0.25714012736699865,Germany
2001,0.2546533941308841,Greece
2002,0.30215550408335623,Greece
2003,0.3508005897228392,Greece
2004,0.3130172437757493,Greece
2005,0.14106991906345534,Greece
2006,0.3787462197017249,Greece
2007,0.2559691975969087,Greece
2008,0.17007493519233383,Greece
2009,-0.09214062481825533,Greece
2010,-0.28536790600321194,Greece
2011,-0.6637515847275435,Greece
2012,-0.638289111583108,Greece
2013,-0.3788884988124965,Greece
2014,-0.10324059508774236,Greece
2015,-0.03622189266194247,Greece
2016,-0.04338879454762762,Greece
2017,0.137101624086912,Greece
2018,0.15817768492174952,Greece
2019,0.22473574276919597,Greece
2020,-0.6794266147595764,Greece
2021,0.6692047844128997,Greece
2022,0.6893343787258273,Greece
2023,0.4953135270480268,Greece
2001,0.5878697011471483,Hungary
2002,0.6606787858182037,Hungary
2003,0.19971195284882415,Hungary
2004,0.4192277453806286,Hungary
2005,0.3316933470513471,Hungary
2006,0.047982617798748656,Hungary
2007,0.4257322019610718,Hungary
2008,0.2336883879814216,Hungary
2009,-0.5804399387162187,Hungary
2010,0.2570107882832617,Hungary
2011,0.12145714037470264,Hungary
2012,-0.10454379948254931,Hungary
2013,0.10464009351803398,Hungary
2014,0.17550291117712138,Hungary
2015,0.25909851902911907,Hungary
2016,0.16352936740585305,Hungary
2017,0.37435406679778316,Hungary
2018,0.27540170185907475,Hungary
2019,0.27000594883838136,Hungary
2020,-0.22907862651227032,Hungary
2021,0.37915734541780516,Hungary
2022,0.29246469512456796,Hungary
2023,0.5724726675436926,Hungary
2001,0.4651662792511614,Ireland
2002,0.43348085231939154,Ireland
2003,0.2641396657222715,Ireland
2004,0.2536803265629879,Ireland
2005,0.2765084953115276,Ireland
2006,0.2549672914168203,Ireland
2007,0.21482291589644925,Ireland
2008,-0.21034728265620453,Ireland
2009,-0.45715238280298587,Ireland
2010,-0.07697005180087228,Ireland
2011,0.2045281401808395,Ireland
2012,0.10164898200133544,Ireland
2013,0.18806980218006475,Ireland
2014,0.4366591059285416,Ireland
2015,1.0842994728257795,Ireland
2016,0.03878154682456931,Ireland
2017,0.3238641260902086,Ireland
2018,0.286312607374444,Ireland
2019,0.1478476017670904,Ireland
2020,0.11378034521670138,Ireland
2021,0.6738590128931952,Ireland
2022,0.6564269699766309,Ireland
2023,0.030708234635627513,Ireland
2001,0.2305822067953782,Italy
2002,0.15862171700337857,Italy
2003,0.14726769317909766,Italy
2004,0.18622621593207783,Italy
2005,0.1283993138176058,Italy
2006,0.17775687182397953,Italy
2007,0.17340276422479142,Italy
