u,E_L,E_H,w_L,w_H,E_agg
0.28065326633165827,5.8511691610591665,6.085325608395971,0.7496475932828375,0.25035240671716247,5.909790791198276
0.2851758793969849,5.831125228601915,6.06528167593872,0.7453797504648336,0.2546202495351663,5.89074620165308
0.28969849246231155,5.811081296144664,6.045237743481469,0.7410642827026783,0.2589357172973217,5.871712763795612
0.2942211055276382,5.791037363687413,6.025193811024217,0.736701510111883,0.263298489888117,5.85269040266876
0.29874371859296484,5.770993431230162,6.005149878566966,0.7322917843144713,0.2677082156855287,5.83367903593796
0.3032663316582914,5.750949498772911,5.985105946109716,0.7278354888050598,0.27216451119494023,5.814678573805477
0.30778894472361806,5.73090556631566,5.965062013652465,0.7233330392812578,0.27666696071874225,5.795688918933033
0.3123115577889447,5.710861633858409,5.945018081195213,0.7187848839366557,0.28121511606334426,5.776709966373208
0.31683417085427135,5.690817701401158,5.924974148737962,0.7141915037147093,0.2858084962852907,5.757741603509995
0.321356783919598,5.670773768943906,5.904930216280711,0.7095534125218788,0.29044658747812124,5.738783710008882
0.3258793969849246,5.650729836486656,5.884886283823461,0.7048711573984374,0.2951288426015626,5.719836157776861
0.3304020100502512,5.630685904029405,5.864842351366209,0.7001453186454253,0.2998546813545747,5.700898810932701
0.33492462311557786,5.610641971572154,5.844798418908958,0.6953765099062987,0.3046234900937013,5.681971525787834
0.3394472361809045,5.590598039114902,5.824754486451707,0.6905653782019012,0.3094346217980988,5.663054150838153
0.34396984924623114,5.570554106657651,5.804710553994456,0.6857126039174705,0.31428739608252954,5.644146526767071
0.3484924623115578,5.550510174200401,5.784666621537205,0.680818900740488,0.319181099259512,5.625248486460064
0.3530150753768844,5.530466241743149,5.764622689079953,0.6758850155482806,0.3241149844517194,5.606359855030987
0.357537688442211,5.510422309285898,5.744578756622703,0.6709117282443888,0.32908827175561123,5.587480449860402
0.36206030150753765,5.490378376828647,5.724534824165452,0.6658998515428337,0.3341001484571663,5.568610080646076
0.3665829145728643,5.470334444371396,5.7044908917082005,0.6608502306995367,0.33914976930046326,5.549748549465889
0.37110552763819094,5.450290511914146,5.68444695925095,0.6557637431902692,0.34423625680973075,5.530895650853232
0.3756281407035176,5.4302465794568935,5.664403026793698,0.65064129833465,0.34935870166535,5.51205117188505
0.3801507537688442,5.410202646999643,5.644359094336448,0.6454838368658409,0.3545161631341592,5.493214892282613
0.3846733668341708,5.390158714542392,5.6243151618791964,0.6402923304457401,0.3597076695542599,5.474386584525019
0.38919597989949745,5.370114782085141,5.604271229421945,0.635067781125618,0.36493221887438204,5.455566013975504
0.3937185929648241,5.35007084962789,5.584227296964695,0.6298112207522952,0.37018877924770477,5.436752939020481
0.39824120603015073,5.330026917170638,5.564183364507443,0.6245237103201173,0.3754762896798827,5.4179471112212845
0.40276381909547737,5.309982984713388,5.544139432050192,0.6192063392691396,0.3807936607308604,5.3991482754785025
0.407286432160804,5.289939052256137,5.524095499592941,0.6138602247300974,0.3861397752699026,5.380356170208769
0.41180904522613065,5.2698951197988855,5.50405156713569,0.6084865107168977,0.3915134892831023,5.361570527533853
0.41633165829145724,5.249851187341635,5.48400763467844,0.6030863672675333,0.39691363273246677,5.3427910734818145
0.4208542713567839,5.229807254884383,5.4639637022211875,0.5976609895344815,0.4023390104655185,5.324017528199994
0.4253768844221105,5.209763322427133,5.443919769763937,0.5922115968258141,0.4077884031741858,5.305249606179548
0.42989949748743717,5.1897193899698815,5.423875837306686,0.5867394315984032,0.41326056840159675,5.286487016491188
0.4344221105527638,5.16967545751263,5.403831904849435,0.5812457584047684,0.41875424159523156,5.267729463031788
0.43894472361809045,5.149631525055379,5.3837879723921835,0.5757318627952662,0.4242681372047338,5.248976644781443
0.44346733668341703,5.129587592598128,5.363744039934932,0.5701990501774716,0.4298009498225283,5.230228256070555
0.4479899497487437,5.1095436601408775,5.343700107477682,0.5646486446347523,0.4353513553652477,5.211483986856466
0.4525125628140703,5.089499727683626,5.323656175020431,0.5590819877061737,0.44091801229382627,5.192743523009154
0.45703517587939696,5.069455795226375,5.3036122425631795,0.5535004371300135,0.4464995628699865,5.1740065466054475
0.4615577889447236,5.049411862769124,5.283568310105928,0.5479053655532857,0.4520946344467142,5.155272736231197
0.46608040201005024,5.029367930311873,5.263524377648677,0.5422981592098051,0.45770184079019494,5.1365417672908205
0.47060301507537683,5.009323997854622,5.243480445191427,0.5366802165694248,0.4633197834305752,5.117813312323584
0.47512562814070347,4.98928006539737,5.223436512734175,0.5310529469611962,0.46894705303880385,5.099087041326001
0.4796482412060301,4.96923613294012,5.203392580276924,0.525417769173282,0.474582230826718,5.080362622079679
0.48417085427135675,4.949192200482869,5.183348647819673,0.5197761100325513,0.48022388996744875,5.061639720483907
0.4886934673366834,4.929148268025617,5.163304715362422,0.5141294029668492,0.48587059703315083,5.042918000892312
0.49321608040201004,4.909104335568367,5.1432607829051715,0.5084790865530056,0.4915209134469945,5.024197126452856
0.4977386934673367,4.889060403111115,5.123216850447919,0.5028266030536951,0.4971733969463049,5.005476759450433
0.5022613065326633,4.869016470653865,5.103172917990669,0.4971733969463049,0.5028266030536951,4.986756561651351
0.50678391959799,4.8489725381966124,5.083128985533417,0.49152091344699456,0.5084790865530054,4.968036194648928
0.5113065326633166,4.828928605739362,5.063085053076167,0.48587059703315094,0.5141294029668491,4.949315320209472
0.5158291457286432,4.808884673282111,5.043041120618915,0.4802238899674488,0.5197761100325512,4.930593600617877
0.5203517587939699,4.78884074082486,5.022997188161664,0.474582230826718,0.525417769173282,4.911870699022105
0.5248743718592965,4.768796808367609,5.002953255704414,0.4689470530388039,0.5310529469611961,4.893146279775784
0.5293969849246231,4.748752875910358,4.982909323247163,0.46331978343057534,0.5366802165694247,4.874420008778202
0.5339195979899497,4.728708943453107,4.962865390789911,0.45770184079019505,0.542298159209805,4.8556915538109635
0.5384422110552763,4.708665010995856,4.94282145833266,0.45209463444671427,0.5479053655532857,4.836960584870587
0.542964824120603,4.688621078538604,4.922777525875409,0.4464995628699865,0.5535004371300135,4.8182267744963365
0.5474874371859296,4.668577146081354,4.902733593418159,0.4409180122938262,0.5590819877061738,4.799489798092631
0.5520100502512563,4.648533213624102,4.8826896609609065,0.4353513553652478,0.5646486446347522,4.780749334245318
0.5565326633165829,4.628489281166852,4.862645728503656,0.42980094982252837,0.5701990501774716,4.762005065031229
0.5610552763819096,4.6084453487096,4.842601796046405,0.4242681372047339,0.5757318627952661,4.743256676320341
0.5655778894472362,4.588401416252349,4.822557863589154,0.41875424159523145,0.5812457584047686,4.724503858069997
0.5701005025125628,4.568357483795098,4.8025139311319025,0.41326056840159675,0.5867394315984032,4.705746304610596
0.5746231155778895,4.548313551337847,4.782469998674651,0.40778840317418585,0.5922115968258141,4.686983714922236
0.5791457286432161,4.528269618880596,4.762426066217401,0.40233901046551845,0.5976609895344815,4.66821579290179
0.5836683417085428,4.508225686423344,4.742382133760149,0.3969136327324668,0.6030863672675332,4.6494422476199695
0.5881909547738694,4.488181753966094,4.7223382013028985,0.39151348928310226,0.6084865107168977,4.6306627935679305
0.592713567839196,4.468137821508843,4.702294268845647,0.3861397752699025,0.6138602247300975,4.611877150893014
0.5972361809045227,4.4480938890515915,4.682250336388396,0.3807936607308603,0.6192063392691397,4.5930850456232815
0.6017587939698492,4.428049956594341,4.662206403931146,0.3754762896798828,0.6245237103201172,4.5742862098804995
0.6062814070351759,4.40800602413709,4.6421624714738945,0.3701887792477049,0.6298112207522951,4.555480382081304
0.6108040201005025,4.387962091679839,4.622118539016643,0.3649322188743821,0.6350677811256179,4.536667307126281
0.6153266331658291,4.3679181592225875,4.602074606559392,0.3597076695542599,0.6402923304457401,4.517846736576765
0.6198492462311558,4.347874226765336,4.582030674102141,0.3545161631341591,0.6454838368658409,4.499018428819172
0.6243718592964824,4.327830294308086,4.5619867416448905,0.34935870166535,0.65064129833465,4.480182149216733
0.6288944723618091,4.307786361850834,4.541942809187638,0.3442362568097308,0.6557637431902692,4.461337670248552
0.6334170854271357,4.2877424293935835,4.521898876730388,0.33914976930046337,0.6608502306995366,4.442484771635895
0.6379396984924623,4.267698496936332,4.501854944273137,0.3341001484571662,0.6658998515428338,4.423623240455708
0.642462311557789,4.247654564479081,4.481811011815886,0.3290882717556113,0.6709117282443887,4.404752871241382
