year,province,city,city_code,region,gdp_100m,gdp_per_capita,pop_10k,fai_100m,fai_imputed,K_100m,V_100m,urban_q,Kstar_m2,OCR_m2,UCI_m2,UCI_m2_norm,UCI_m2_class,Kstar_orig,OCR_orig,UCI_orig
1992,湖北省,随州市,421300,中部,,,,,False,,,,,,,,,,,
1993,湖北省,随州市,421300,中部,,,,,False,,,,,,,,,,,
1994,湖北省,随州市,421300,中部,64.1298,,127.52514170040487,4.3883,False,12.538,,,,,,,,,,
1995,湖北省,随州市,421300,中部,77.9391,,129.5676923076923,4.9996,False,16.9107,,,,,,,,,,
1996,湖北省,随州市,421300,中部,103.0262,,130.3082186234818,3.6529,False,19.718064999999996,,,,,,,,,,
1997,湖北省,随州市,421300,中部,121.6161,,149.96064777327936,8.2619,False,26.994061749999997,,,,,,,,,,
1998,湖北省,随州市,421300,中部,103.413,,169.6212145748988,12.8708,False,38.5151586625,,,,,,,,,,
1999,湖北省,随州市,421300,中部,85.21,,189.27364372469637,17.4798,False,54.069200729375,,,,,,,,,,
2000,湖北省,随州市,421300,中部,120.1067,,208.9260728744939,22.0888,False,73.45454069290625,,,,,,,,,,
2001,湖北省,随州市,421300,中部,129.64,5046.0,209.18647773279352,26.0106,False,95.79241365826093,,,731.8093002978433,0.1308980544785012,,,,596.0808419525337,0.16070372828034782,
2002,湖北省,随州市,421300,中部,143.01,5735.0,209.31668016194337,30.8688,False,121.87159297534788,,,801.6758605554312,0.15202103365181865,,,,678.1294501298062,0.17971729874291623,
2003,湖北省,随州市,421300,中部,156.88,6280.0,209.49570850202429,36.5516,False,152.32961332658047,,,855.5962386022861,0.1780391339440999,,,,729.1194989983144,0.20892269859173337,
2004,湖北省,随州市,421300,中部,189.69,7574.0,209.72356275303648,46.4681,False,191.18123266025145,,,977.9421401194186,0.19549339865537024,,,,832.3818610648282,0.22967971985319577,
2005,湖北省,随州市,421300,中部,193.07,8701.0,205.62218623481783,55.7916,False,237.41377102723885,,,1057.424847949994,0.22452070375261904,,,,840.645050102198,0.2824185677395903,
2006,湖北省,随州市,421300,中部,218.33,9802.0,204.76773279352227,70.9648,False,296.5078824758769,,,1145.58694464045,0.25882617104102723,,,,868.8134425378742,0.3412791146621229,
2007,湖北省,随州市,421300,中部,257.62,11183.0,206.88352226720647,101.9228,False,383.60528835208305,,,1270.7174651899293,0.3018808656216487,,,,892.4134423222894,0.4298515353532141,
2008,湖北省,随州市,421300,中部,310.2,14074.0,208.41340080971665,147.07,False,511.49502393447887,,,1506.398150648402,0.33954836157646306,,,,1027.3690123283197,0.49786884536772336,
2009,湖北省,随州市,421300,中部,341.91,15531.0,209.7642510121457,208.7003,False,694.6205727377549,,,1625.7337379764174,0.4272658901711437,,,,1072.4417431471752,0.6477000519387928,
2010,湖北省,随州市,421300,中部,401.66,18381.0,209.87817813765184,291.1808,False,951.070344100867,,,1832.5498476100747,0.5189874345525761,,,,1154.2401698638353,0.823979591884299,
2011,湖北省,随州市,421300,中部,517.99,23914.0,211.0906882591093,384.4829,False,1287.9997268958236,,,2220.4686500690123,0.5800576048915587,,,,1512.5419196252078,0.8515464663716406,
2012,湖北省,随州市,421300,中部,590.52,27163.0,209.0562753036437,489.7349,False,1713.3346405510324,,,2406.180269783386,0.7120558098106563,,,,1678.5512890529567,1.0207222452628781,
2013,湖北省,随州市,421300,中部,661.94,25657.0,209.6259109311741,628.5864,False,2256.2543085234806,,,2317.3884254747068,0.9736193914325333,,,,1721.4412748458194,1.3106774779322994,
2014,湖北省,随州市,421300,中部,723.45,33156.0,209.219028340081,768.8097,False,2912.251293097306,,,2772.866028550175,1.0502675798657357,,,,2174.40012826899,1.3393355046459223,
2015,湖北省,随州市,421300,中部,785.26,35900.0,204.23064777327937,907.6825,False,3674.3212284424408,,,2862.5108167234807,1.2836008188951347,,,,2468.388703712455,1.4885504956801432,
2016,湖北省,随州市,421300,中部,852.18,38801.0,205.06882591093117,974.2661,False,4464.871267020319,2721.746954157085,0.6095913614041268,3036.8650883578753,1.4702237791651815,0.41462488230891176,0.5347816044156979,Orange,2851.9468154766614,1.5655520792992348,0.3893778874970351
2017,湖北省,随州市,421300,中部,935.72,42414.0,203.4412955465587,1048.5874886862591,True,5290.215192355562,3896.258866396761,0.7365029067299401,3208.318199414568,1.648906019771008,0.44666154280413267,0.559675614566668,Orange,3196.780689994073,1.6548570907331683,0.44505529260151383
2018,湖北省,随州市,421300,中部,1011.19,45681.0,204.25506072874495,1133.1607560858574,True,6158.865188823641,4349.046467018623,0.7061441245557287,3394.9495341608945,1.8141256966713304,0.38924762812819724,0.5136566101794618,Orange,3567.9511509625695,1.726162979322766,0.4090831126692184
2019,湖北省,随州市,421300,中部,1162.0,52380.0,202.6275303643725,1302.1616101541415,True,7153.0835395366,4386.826378843725,0.6132776661417152,3709.8937544458,1.9281100788842291,0.318071915529123,0.446113147403293,Orange,4511.476880763133,1.5855303548239907,0.38679654683104125
2020,湖北省,随州市,421300,中部,1097.0,54474.0,201.0,1229.3212446980149,True,8024.750607257785,4410.501192,0.5496122443993502,3783.196654934318,2.121156085500162,0.25910976007678066,0.3775369769078139,Red,4362.230406246237,1.8395980633593354,0.2987675706701331
2021,湖北省,随州市,421300,中部,1241.0,61102.0,201.0,1390.6906697085108,True,9014.203746603407,4409.0398215,0.4891213850320773,4103.356260229186,2.196787988888865,0.22265297675788678,0.32681793770120837,Red,4813.390016708356,1.8727349571327245,0.2611802503975005
2022,湖北省,随州市,421300,中部,1329.0,65956.0,200.0,1489.3053183260365,True,10052.798877599273,4441.1034,0.4417778027864602,4309.5692534866375,2.3326690641915317,0.1893872600996549,0.27269288610918596,Red,5151.41755510267,1.9514626352976576,0.22638291648308995
2023,湖北省,随州市,421300,中部,1331.0,66254.0,200.0,1491.5465603400708,True,11041.70549405938,4422.7404,0.4005486654556677,4323.336140622497,2.553978024125956,0.15683324667319595,0.209607122132599,Red,5123.396109669964,2.1551535851813455,0.18585620449967305
1990,湖南省,长沙市,430100,中部,93.48,1708.0,738.7854472630172,10.858,False,31.022857142857145,,,1220.3714638853367,0.025420831329576208,,,,790.1653940204566,0.039261219711241864,
1991,湖南省,长沙市,430100,中部,106.02,1921.0,743.499813084112,13.8819,False,43.353614285714286,,,1334.7505390012507,0.03248068685415505,,,,951.5571655139755,0.04556070392502084,
1992,湖南省,长沙市,430100,中部,130.8525,2973.0,745.9442990654205,22.7598,False,63.94573357142857,,,1824.0365326364663,0.03505726580980331,,,,1412.0700565782665,0.04528509989538487,
1993,湖南省,长沙市,430100,中部,167.0372,4025.0,745.9980240320426,29.8398,False,90.58824689285714,,,2260.224991704674,0.04007930503614819,,,,1894.827505126074,0.04780817602013318,
1994,湖南省,长沙市,430100,中部,253.0577,5078.0,751.3973831775701,41.1224,False,127.18123454821428,,,2683.670359875595,0.047390781092097295,,,,2712.91943791628,0.04687984197787264,
1995,湖南省,长沙市,430100,中部,320.4072,6130.0,755.9371428571428,64.6359,False,185.4580728208036,,,3084.8148466074636,0.06011967720680604,,,,3469.4556827922165,0.05345451557160316,
1996,湖南省,长沙市,430100,中部,400.0701,7182.0,762.2632576769024,75.0845,False,251.2696691797634,,,3479.843434723472,0.07220717652767925,,,,4270.601263064229,0.05883707087171916,
1997,湖南省,长沙市,430100,中部,482.8691,8234.0,768.1461415220293,123.9759,False,362.68208572077526,,,3863.1541615788046,0.09388237449280391,,,,5125.855802391677,0.07075542108530465,
1998,湖南省,长沙市,430100,中部,542.8509,9286.0,774.8214686248331,148.4337,False,492.98168143473646,,,4243.182006339361,0.11618207295803394,,,,5901.832957080915,0.08353026678656937,
1999,湖南省,长沙市,430100,中部,588.436,10338.0,782.3295327102803,164.8488,False,633.1813973629996,,,4622.830624135337,0.13696833149309492,,,,6665.486840325678,0.09499402107169447,
2000,湖南省,长沙市,430100,中部,656.4098,11391.0,787.0707610146862,202.3194,False,803.8417274948496,,,4981.60200886673,0.16136209317085054,,,,7648.759250742589,0.10509439520100043,
2001,湖南省,长沙市,430100,中部,728.0774,12443.0,788.5347663551402,279.8029,False,1043.452541120107,,,5312.85965215954,0.1964012997587788,,,,8584.900777636045,0.12154509040318043,
2002,湖南省,长沙市,430100,中部,812.8469,13747.0,799.7767156208278,293.2463,False,1284.5262140641016,,,5783.316166731035,0.22210893837231935,,,,9570.91140224778,0.1342114831156439,
2003,湖南省,长沙市,430100,中部,929.4858,14810.0,808.2383978638184,494.9713,False,1715.2712033608964,,,6161.568740965583,0.27838222301356574,,,,10350.362480583488,0.16572088239214983,
2004,湖南省,长沙市,430100,中部,1133.8828,18036.0,819.8161281708944,668.0876,False,2297.5952431928513,,,7186.182310542488,0.3197240403742839,,,,12096.714345515675,0.18993547979783318,
2005,湖南省,长沙市,430100,中部,1519.9001,23968.0,833.9726568758343,881.4355,False,3064.1509810332086,,,8941.251257885211,0.3426982301085612,,,,16912.872003440836,0.18117271746689875,
2006,湖南省,长沙市,430100,中部,1798.9572,27982.0,847.5113484646195,1089.8081,False,4000.751531981549,,,10140.469222213833,0.3945331763561251,,,,18859.213535047234,0.21213777152195168,
2007,湖南省,长沙市,430100,中部,2190.2548,33711.0,856.0536181575434,1445.1811,False,5245.895055382471,,,11686.932219021575,0.44886844186914043,,,,20976.92548144687,0.2500793102412565,
2008,湖南省,长沙市,430100,中部,3000.9795,45765.0,866.503124165554,1873.329,False,6856.929302613346,,,14688.09946733405,0.46683570722427215,,,,28173.99805542201,0.24337792915030562,
2009,湖南省,长沙市,430100,中部,3744.7641,56620.0,875.1662750333778,2441.7763,False,8955.85913748268,,,17248.03667551752,0.5192393375528327,,,,35814.90605783515,0.2500595456824722,
2010,湖南省,长沙市,430100,中部,4547.0573,66443.0,876.2542056074766,3192.5699,False,11700.636080608543,16565.354425899066,1.4157652893207076,19339.387439275913,0.6050158577849262,2.3400465807691115,1.0,Green,38773.468793342254,0.30176913350135043,4.691551030729828
2011,湖南省,长沙市,430100,中部,5619.3285,79530.0,881.8953271028037,3510.2425,False,14625.846776578115,18962.228294794764,1.29648755278641,22105.88322648143,0.6616268903048076,1.959544830756691,1.0,Green,45100.21608370719,0.3242966009172142,3.997845025570819
2012,湖南省,长沙市,430100,中部,6399.9097,89903.0,887.26782376502,4011.9564,False,17906.51083774921,19023.130033289395,1.062358278821478,24257.64445707997,0.738180117588578,1.439158619297275,0.951016686469516,Green,50202.30980927385,0.35668699121173403,2.978404889991764
2013,湖南省,长沙市,430100,中部,7153.1346,107890.0,890.2226969292389,4593.3871,False,21604.57239586175,19653.90084977132,0.9097102451116288,27691.71501730772,0.7801818118653387,1.1660233951578545,0.8806230583351085,Green,68442.32368337085,0.3156610008714669,2.881921563323089
2014,湖南省,长沙市,430100,中部,7824.8074,107683.0,901.773564753004,5435.7478,False,25960.091576068666,20171.589629571587,0.7770230536538935,28017.521108838784,0.9265663252370655,0.8386048925910287,0.7703748672775312,Yellow,64097.118006202996,0.405011838029229,1.9185193633718356
2015,湖南省,长沙市,430100,中部,8510.1328,115443.0,913.8079572763684,6363.2944,False,31025.381397265228,21314.30011631594,0.6869955873675324,29829.174637342792,1.0401019060857593,0.6605079592180727,0.6905252724879902,Yellow,73564.62927821015,0.42174318965072183,1.6289429307358505
2016,湖南省,长沙市,430100,中部,9356.9088,124122.0,934.814419225634,6693.3188,False,36167.43112740197,26473.68858724486,0.7319759176146542,32129.944841632405,1.1256611645513313,0.6502630992927672,0.685296703545346,Yellow,85921.73031311645,0.42093462265716036,1.7389301763633456
2017,湖南省,长沙市,430100,中部,10210.13,131207.0,952.2750333778372,7343.62669256541,True,41702.68626359728,36048.4110031594,0.864414603301621,34049.099122899184,1.2247808998726428,0.705770806347083,0.7126947939698727,Yellow,93701.14654852982,0.44506057609442984,1.9422403370057553
2018,湖南省,长沙市,430100,中部,11003.4116,136920.0,979.1375166889184,7914.193760024981,True,47531.7457104424,41021.65714111401,0.8630370403606245,36094.08982883074,1.3168844521596896,0.6553627684989707,0.6879095884683005,Yellow,101993.52815282367,0.4660270761417571,1.8519032145207461
2019,湖南省,长沙市,430100,中部,11574.0,139877.0,991.2256341789052,8324.588946443586,True,53479.74737136386,40464.29497059972,0.7566283866229824,37102.040343387926,1.4414233523654356,0.5249175305654121,0.6136734132523263,Yellow,109055.63801817955,0.49038956942738526,1.5429128876180565
2020,湖南省,长沙市,430100,中部,12143.0,123297.0,1006.0,8733.841677610548,True,59539.60168040621,42117.686928,0.7073894641431645,34445.95574657591,1.728493240787047,0.40925208583463357,0.5304190686736003,Orange,92207.8964782843,0.6457104429708823,1.0955211764711439
2021,湖南省,长沙市,430100,中部,13271.0,130745.0,1021.0,9545.1546490628,True,66107.7762454487,44803.0579555,0.6777275004555088,36447.64592267625,1.8137735530491177,0.37365607151796176,0.49998325658740855,Orange,94425.3266718186,0.7001064076294975,0.9680349916382541
2022,湖南省,长沙市,430100,中部,13966.0,135200.0,1036.0,10045.032765338789,True,72847.42019851504,46581.177972,0.6394348330395581,37877.31600660317,1.9232466256536107,0.33247677365467765,0.4609279198765022,Orange,96317.29357471823,0.7563275243194368,0.8454469954864304
2023,湖南省,长沙市,430100,中部,14332.0,136927.0,1051.0,10308.27793160787,True,79513.32712019715,44586.4200795,0.5607414718302565,38779.434125485204,2.0503993653672814,0.27347914816088165,0.39558985225401855,Red,98678.23228421225,0.8057838621509099,0.6958956342628253
1990,湖南省,株洲市,430200,中部,54.48,1571.0,341.25732165206506,5.8996,False,16.856,,,526.1446195275196,0.03203681910714353,,,,352.8251945247459,0.04777436606448971,
1991,湖南省,株洲市,430200,中部,61.07,1739.0,344.32265331664576,7.9286,False,23.9418,,,570.499643354116,0.04196637154624659,,,,415.2243304973233,0.05765991595753645,
1992,湖南省,株洲市,430200,中部,75.3377,2446.0,346.7046307884856,12.6905,False,35.43521,,,731.3216555740305,0.04845365883796524,,,,550.788678802783,0.06433540006127837,
1993,湖南省,株洲市,430200,中部,97.9703,3152.0,348.5594493116396,18.2168,False,51.8802495,,,879.7755399274372,0.058969870319739756,,,,705.0933137382544,0.07357926743758493,
1994,湖南省,株洲市,430200,中部,136.2317,3859.0,351.70287859824776,25.5259,False,74.812137025,,,1024.4756173684605,0.07302480972379574,,,,936.3568452333184,0.07989703648330626,
1995,湖南省,株洲市,430200,中部,175.9629,4566.0,355.3832290362954,22.325,False,93.39653017375,,,1166.1939874718653,0.08008661610082535,,,,1183.2478140884693,0.07893234964114365,
1996,湖南省,株洲市,430200,中部,214.6651,5272.0,356.7401752190238,30.2423,False,118.96900366506247,,,1296.0532701811305,0.09179329770020633,,,,1411.95210484278,0.08425852637424242,
1997,湖南省,株洲市,430200,中部,239.7033,5979.0,356.95494367959947,34.7574,False,147.77795348180936,,,1417.6031073248998,0.10424494184460065,,,,1605.9647786522985,0.09201817838484752,
1998,湖南省,株洲市,430200,中部,263.2238,6686.0,359.131914893617,39.5674,False,179.95645580771887,,,1543.7227306330576,0.11657304270820798,,,,1807.5867004945062,0.09955619598135332,
1999,湖南省,株洲市,430200,中部,280.9966,7392.0,361.2893617021276,33.5995,False,204.55813301733292,,,1667.4291269501482,0.12267875720240352,,,,2005.797652796989,0.10198343423729027,
2000,湖南省,株洲市,430200,中部,291.4191,8099.0,363.15394242803507,36.3339,False,230.66412636646623,,,1788.0410878721225,0.12900381760296714,,,,2207.7586130628715,0.1044788705620588,
2001,湖南省,株洲市,430200,中部,322.6716,8806.0,363.25156445556945,43.4052,False,262.53612004814295,,,1897.6294385161707,0.13834951899430376,,,,2459.958875816633,0.10672378413683392,
2002,湖南省,株洲市,430200,中部,355.2747,9644.0,364.1594493116395,63.2164,False,312.6257140457358,,,2028.8050656314801,0.15409352004374496,,,,2677.936236394839,0.11674128375312136,
2003,湖南省,株洲市,430200,中部,383.0868,10707.0,364.71589486858574,104.8635,False,401.857928343449,,,2187.9623754330496,0.18366765939652493,,,,2904.5246845557936,0.13835583167195825,
2004,湖南省,株洲市,430200,中部,452.477,12635.0,362.1093867334168,138.7093,False,520.4743319262765,,,2442.080065338246,0.2131274642931033,,,,3179.8894264166647,0.16367686486280925,
2005,湖南省,株洲市,430200,中部,524.1377,14497.0,363.37847309136424,160.6587,False,655.1093153299626,,,2701.0859530132934,0.24253553079239548,,,,3455.151211949635,0.18960365991053243,
2006,湖南省,株洲市,430200,中部,605.2653,16526.0,367.9374217772215,203.2466,False,825.6004495634645,,,3001.036902244091,0.27510506416835584,,,,3693.505841591356,0.2235275873308901,
2007,湖南省,株洲市,430200,中部,751.2625,20387.0,371.2956195244055,288.6632,False,1072.9836270852911,,,3513.8329168939613,0.30535988832210914,,,,4262.363083079715,0.25173445015623136,
2008,湖南省,株洲市,430200,中部,909.5676,24563.0,373.9314142678348,388.4405,False,1407.7749457310267,,,4037.837804622322,0.3486457390932033,,,,4669.471088807062,0.30148488318206496,
2009,湖南省,株洲市,430200,中部,1024.8939,27536.0,373.6971214017522,562.9725,False,1900.358698444475,,,4375.009198285943,0.434366789260467,,,,4997.9432746301,0.38022814466319077,
2010,湖南省,株洲市,430200,中部,1275.4805,33604.0,380.9894868585732,808.4847,False,2613.825463522251,,,5136.538716570088,0.5088690279098348,,,,5796.9420970077235,0.4508972868422233,
2011,湖南省,株洲市,430200,中部,1564.2651,40431.0,382.0926157697121,849.0458,False,3332.1799903461383,,,5871.797191610744,0.5674889444592787,,,,6746.1711587877935,0.49393647328463147,
2012,湖南省,株洲市,430200,中部,1761.3222,45235.0,386.38798498122657,1053.4569,False,4219.027890828831,,,6429.622164969555,0.6561859752529966,,,,7399.608563273406,0.5701690643163476,
2013,湖南省,株洲市,430200,中部,1949.4317,48736.0,390.0976220275344,1505.3294,False,5513.40589628739,,,6843.737744009667,0.8056132631781926,,,,8861.31337140859,0.6221883444588058,
2014,湖南省,株洲市,430200,中部,2161.0147,54741.0,386.6808510638298,1837.0955,False,7074.831101473021,,,7364.218443939881,0.9607035906566568,,,,9493.84221774559,0.7452020940740904,
2015,湖南省,株洲市,430200,中部,2335.1075,58661.0,393.3386733416771,1942.1056,False,8663.19514639937,6483.728610467085,0.7484223200445711,7868.388467880834,1.101012638326511,0.679758155348824,0.7001340647021945,Yellow,10881.651253889468,0.7961287257118126,0.9400770200515155
2016,湖南省,株洲市,430200,中部,2488.4543,62081.0,394.3929912390488,2345.8016,False,10575.836989079402,6923.79550053567,0.6546806184404292,8212.476424148574,1.287776846211872,0.5083804856145998,0.6029665018618123,Yellow,12145.933250712242,0.8707307022668869,0.7518749674681434
2017,湖南省,株洲市,430200,中部,2530.01,62953.0,393.4167709637046,2213.3207030436884,True,12260.36584266912,8258.553239789735,0.6735976190080656,8273.132683831896,1.4819496206835212,0.4545347625902299,0.5655199998200516,Orange,12042.432647623576,1.0180971072392546,0.6616241360656071
2018,湖南省,株洲市,430200,中部,2631.5423,65442.0,393.4167709637046,2302.143886200135,True,13949.4914367358,9442.694287178972,0.6769203257340094,8503.238947870728,1.6404915259060022,0.41263262567611453,0.5331705870653696,Orange,12624.479323648104,1.1049557830559944,0.6126220941274588
2019,湖南省,株洲市,430200,中部,3003.0,74618.0,392.4405506883604,2627.105059363478,True,15879.121924262488,10159.394232390488,0.639795719237312,9307.006525592235,1.706147071090836,0.3749944715072274,0.5011791763903699,Orange,15855.149936578493,1.0015119369908128,0.6388298487581393
2020,湖南省,株洲市,430200,中部,3106.0,79581.0,390.0,2717.2122259017533,True,17802.378053951117,10391.53752,0.5837162590586412,9679.482435216969,1.8391869785496513,0.31737733349925573,0.4453819449170875,Orange,16511.510021712016,1.0781798896976509,0.5413904160485966
