year,province,city,city_code,region,Q_real,K_real,Kstar_real,OCR_real,UCI_real,UCI_norm,signal
2015,陕西省,安康市,610900,西部,1.206032618185824,3034.2720738757944,3251.7830483914154,0.9331102440480404,1.292486740852598,0.6295924096505552,Yellow
2016,陕西省,安康市,610900,西部,1.058441931204697,3750.257970182004,3443.167640655402,1.089188317728308,0.9717712850724126,0.5526645695719491,Yellow
2015,河南省,安阳市,410500,中部,0.8653354367275136,8742.003167741748,7738.2488869394,1.1297133622177082,0.7659778716158567,0.48847762143940016,Orange
2016,河南省,安阳市,410500,中部,0.7564144201350598,10379.754509354661,8260.620560526168,1.256534473808771,0.601984613953518,0.42349383566968873,Orange
2016,甘肃省,定西市,621100,西部,1.5190882083532604,3003.8163072686048,1730.2816036970073,1.736027419381041,0.87503699042661,0.5243821904197181,Yellow
2015,四川省,宜宾市,511500,西部,1.9707779868196234,5779.0983189577955,6710.313174173662,0.8612263196895366,2.2883392457514176,0.7836780393008645,Green
2016,四川省,宜宾市,511500,西部,1.728189805553353,6926.664003009905,7129.936085738133,0.971490335918322,1.7789058127065616,0.7157524469647717,Yellow
2011,湖北省,宜昌市,420500,中部,1.4691536334773274,5201.144676843809,7555.530482597183,0.6883890798698672,2.134190788957686,0.7648673810894718,Green
2012,湖北省,宜昌市,420500,中部,1.3213454102565714,6498.121443001619,8436.765776202072,0.7702147499852532,1.715554538889148,0.7059714650423323,Yellow
2013,湖北省,宜昌市,420500,中部,1.14314567475642,8197.138070851539,9312.30719292309,0.8802478162534172,1.2986634600492053,0.6308783645234365,Yellow
2015,湖北省,宜昌市,420500,中部,0.7001597488343723,12666.789763943514,10349.668363429773,1.223883637537722,0.5720803247627307,0.4097504116745033,Orange
2016,湖北省,宜昌市,420500,中部,0.6221430539703995,15224.596475746337,10901.020461451337,1.396621218131295,0.4454629830147063,0.34227327663967505,Orange
2016,江西省,宜春市,360900,中部,0.9297748393843128,8277.444031822066,6568.250992031707,1.2602204212146995,0.7377874725185954,0.4783634183109477,Orange
2015,陕西省,宝鸡市,610300,西部,0.4777888765030112,9918.370029238915,6267.394619592524,1.5825347901715114,0.30191366374399237,0.23735548001263668,Red
2016,陕西省,宝鸡市,610300,西部,0.38029944566200236,12538.633127776968,6598.852698719446,1.9001232032668613,0.2001446248370409,0.1264691444713919,Red
2015,安徽省,宿州市,341300,中部,2.106921340325812,4659.1912034281895,5325.269079544862,0.8749212732413514,2.4081267706752936,0.7974404415377595,Green
2016,安徽省,宿州市,341300,中部,1.7492049527376514,5696.20924325678,5672.861316528834,1.0041157231642377,1.742035218037855,0.7101031175112095,Yellow
2015,江苏省,宿迁市,321300,东部,1.0051523895802121,8730.304153723533,8612.012896124537,1.0137356108294064,0.9915330771085651,0.5580947342064477,Yellow
2016,江苏省,宿迁市,321300,东部,0.9138750378196976,10353.370446037356,9313.71411934501,1.1116263945156886,0.82210627808802,0.5075519724337162,Orange
2016,湖南省,岳阳市,430600,中部,0.9071722448318171,10896.876736165463,9721.12015335191,1.1209486730197593,0.8092897263422034,0.5033137829234614,Orange
2016,四川省,巴中市,511900,西部,0.9640183301901722,4675.300108616235,2415.159423802539,1.9358142831230682,0.49799112373265064,0.37233959424595253,Orange
2015,内蒙古自治区,巴彦淖尔市,150800,西部,0.5604882784521841,5068.408848493279,3060.0528664288768,1.6563141454507553,0.3383949113709047,0.2681242817061078,Red
2016,内蒙古自治区,巴彦淖尔市,150800,西部,0.5577336065956956,5549.674706068615,3125.691461008417,1.7755030447817033,0.31412709104324205,0.24805205288206766,Red
2011,江苏省,常州市,320400,东部,1.1526945589556103,10416.278469776891,12913.534169911385,0.8066171764230806,1.4290478713423875,0.6566842039274667,Yellow
2012,江苏省,常州市,320400,东部,0.7226695019608111,12517.029346288045,13865.16806384803,0.9027679497751553,0.8005041629366664,0.5003696101582189,Orange
2013,江苏省,常州市,320400,东部,0.7145811608296146,14741.293278973642,15214.13187352989,0.9689210926731279,0.7375019144832298,0.47825899996515375,Orange
2014,江苏省,常州市,320400,东部,0.7444032521653743,17314.27891502496,16202.284207746032,1.0686319714566728,0.6965945920096924,0.46286681958375764,Orange
2015,江苏省,常州市,320400,东部,0.6057144569076698,19847.53166927371,17154.65255916822,1.1569766044994187,0.523532156615855,0.3858304763575831,Orange
2016,江苏省,常州市,320400,东部,0.6970033058732044,22460.232085810025,18482.42494354727,1.2152210629510236,0.5735609158885154,0.41044759401997966,Orange
2015,湖南省,常德市,430700,中部,1.2337255866163055,7515.867728754193,9127.056993246475,0.8234711073148251,1.4982014252318316,0.669430829894262,Yellow
2016,湖南省,常德市,430700,中部,1.065299486144732,9147.005842316483,9724.527653899193,0.9406118392443314,1.13256015042355,0.5939644490986657,Yellow
2016,甘肃省,平凉市,620800,西部,1.1928279381620528,3546.050364241869,1662.9104362701355,2.1324361714847173,0.5593733374591661,0.403691652092033,Orange
2015,河南省,平顶山市,410400,中部,1.140361760484453,7677.49156459095,6692.861636728584,1.1471164325972298,0.9941116072258825,0.5587952703563186,Yellow
2016,河南省,平顶山市,410400,中部,1.0070904742277234,9026.354086361402,7140.803069836102,1.26405307611551,0.796715338348415,0.4990899332126329,Orange
2016,四川省,广元市,510800,西部,0.5381025784882174,3821.857843123179,2763.4195609483513,1.383017583407274,0.3890786241216977,0.3057699519255745,Orange
2015,四川省,广安市,511600,西部,1.4479246280382638,4285.786359814563,4533.459178857772,0.9453678065089336,1.5315992548817359,0.6753776036180853,Yellow
2016,四川省,广安市,511600,西部,1.2226103102096928,5342.954941823835,4742.695432390735,1.1265650552497142,1.0852549566599945,0.5824562067574405,Yellow
2010,广东省,广州市,440100,东部,3.5043999476662173,17388.222546680397,49883.87241627433,0.3485740321356365,10.053531314985024,1.0,Green
2011,广东省,广州市,440100,东部,3.6473434927415656,19931.011419346378,48317.947359178084,0.4124970639002206,8.842107767399348,1.0,Green
2012,广东省,广州市,440100,东部,3.7500210811486845,22692.84764837906,51687.82883614086,0.43903658093899073,8.541477507701787,1.0,Green
2013,广东省,广州市,440100,东部,3.968351686643147,26012.756065960104,77740.87502628323,0.33460848050868364,11.859686522619864,1.0,Green
2014,广东省,广州市,440100,东部,3.5198807923523687,29601.620862662097,60724.77376436777,0.48747190030754484,7.2206844951097375,1.0,Green
2015,广东省,广州市,440100,东部,3.516757774450746,33527.49201952899,64177.90953848161,0.5224148349585246,6.731734129889223,1.0,Green
2016,广东省,广州市,440100,东部,3.7723976963054744,37554.70341855254,67320.48737206524,0.5578495475084148,6.7623926794501354,1.0,Green
2016,甘肃省,庆阳市,621000,西部,0.6749920288347044,6559.068712623546,2654.626422855218,2.4708066853221684,0.2731869040360364,0.21038652781882444,Red
2011,河北省,廊坊市,131000,东部,1.994349242574717,5743.830121785746,7337.563071774509,0.782798057829391,2.5477186901878857,0.8126395129046784,Green
2012,河北省,廊坊市,131000,东部,1.6542913244067174,6738.755815696458,8025.377815348652,0.8396808188654358,1.9701430439270617,0.7432939782408594,Yellow
2013,河北省,廊坊市,131000,东部,1.4708524116212458,7943.131724911635,8551.70955810916,0.9288355352737113,1.5835445089725295,0.6843739812045708,Yellow
2014,河北省,廊坊市,131000,东部,1.4783981118044882,8875.888538666053,9454.654735840222,0.9387850520886594,1.5747993734191537,0.6828802657403646,Yellow
2015,河北省,廊坊市,131000,东部,1.2495883804461452,10565.90581173275,10524.535223444615,1.0039308708090005,1.2446956426782512,0.6194297745913071,Yellow
2016,河北省,廊坊市,131000,东部,2.547359379635234,12496.127421146111,11351.140730465499,1.1008697467389834,2.3139516615667466,0.7866802460507892,Green
2015,河南省,开封市,410200,中部,1.3536600631924312,5766.786496225421,6636.725723146613,0.8689204190121729,1.5578642572714907,0.6799639248887658,Yellow
2016,河南省,开封市,410200,中部,1.1761695678992783,6830.133371414149,7135.384802036755,0.9572200464177526,1.2287347849649726,0.6159486289666315,Yellow
2015,河北省,张家口市,130700,东部,1.1939218474978395,8083.730719796533,5671.220781383015,1.4253951717649742,0.8376076130659849,0.5125905521858856,Orange
2016,河北省,张家口市,130700,东部,1.484748315087633,9310.814383806706,5980.306781311776,1.556912500359118,0.9536491708719408,0.5475870016428084,Yellow
2016,湖南省,张家界市,430800,中部,1.329391707144737,1618.1814599673103,1993.6529143521814,0.8116665886615089,1.6378544167217608,0.6934696647749152,Yellow
2011,江苏省,徐州市,320300,东部,1.9241556598895488,9688.865164213577,14377.117373481966,0.6739087476662263,2.855216921509001,0.8433751369277536,Green
2012,江苏省,徐州市,320300,东部,1.6318959987744817,11890.311006002898,15920.872754202319,0.7468378894532931,2.185073925439263,0.7712227941225241,Green
2013,江苏省,徐州市,320300,东部,1.398084018502732,14385.926755702752,17718.680220668783,0.811907352948422,1.7219748206807384,0.7069790178442618,Yellow
2014,江苏省,徐州市,320300,东部,1.1485313656466174,17338.189817917613,19053.251376901895,0.9099858850829293,1.2621419567864494,0.6231842056622845,Yellow
2015,江苏省,徐州市,320300,东部,1.0392955931950048,20737.39692702173,20048.868983451317,1.0343424830666876,1.0047886557976733,0.5616768050962954,Yellow
2016,江苏省,徐州市,320300,东部,0.9358522604199874,24497.85938067064,21521.354133860583,1.138304738089272,0.8221456250730222,0.507564881735182,Orange
2015,山东省,德州市,371400,东部,0.9066742979644457,11628.251942183328,10258.324770529212,1.1335429714206098,0.7998587797939044,0.5001520603069132,Orange
2016,山东省,德州市,371400,东部,0.8160414985959088,13584.62204507416,10782.24461348975,1.2599066828884902,0.6476999524480923,0.4432369203066077,Orange
2015,四川省,德阳市,510600,西部,0.9019885190909556,5213.255677223607,6316.108374802042,0.8253904727192081,1.0928021935113923,0.5843255113924222,Yellow
2016,四川省,德阳市,510600,西部,0.8068366482469728,6051.672493362426,6750.232326102751,0.8965132162875291,0.8999718393311501,0.5319608854191444,Yellow
2015,山西省,忻州市,140900,中部,1.0317507298243596,4732.795642516119,2649.7146943483126,1.7861529215243048,0.5776385198552106,0.4123583970770567,Orange
2016,山西省,忻州市,140900,中部,0.8429979678700055,5663.8156603903135,2750.1571122461614,2.0594516710226975,0.4093312699352558,0.31945696455260436,Orange
2015,湖南省,怀化市,431200,中部,1.456495449981825,4198.767907948517,5121.326573533578,0.8198594343987479,1.7765184967956862,0.715390222185473,Yellow
2016,湖南省,怀化市,431200,中部,1.3174528269761803,5070.707112551091,5511.1778933248925,0.9200768348800178,1.4318943560273225,0.6572209384663589,Yellow
2011,广东省,惠州市,441300,东部,1.9628509452893874,4668.79761120911,9315.856019987506,0.5011667850160023,3.91656231812472,0.9286278273739987,Green
2012,广东省,惠州市,441300,东部,1.7232614565798443,5644.038030648654,10075.118353793086,0.5601957051476009,3.0761775585655333,0.8634808167144619,Green
2013,广东省,惠州市,441300,东部,1.4349451569647305,6763.140129116221,13703.490866543978,0.4935341071104669,2.9074893432715667,0.848268615440627,Green
2014,广东省,惠州市,441300,东部,1.2895326706023893,8031.692022660411,12037.620820591499,0.6672159010791763,1.9327067423253224,0.7381192915820659,Yellow
2015,广东省,惠州市,441300,东部,1.2688293625924638,9494.03802152739,12688.344090379489,0.7482487828120871,1.6957319433570182,0.7028366866057241,Yellow
2016,广东省,惠州市,441300,东部,1.5280896068136456,11059.04172045102,13671.95211187497,0.8088853464345833,1.8891300399360444,0.7319680797368446,Yellow
2010,四川省,成都市,510100,西部,2.0585887281570288,18835.327758163934,29987.52607251277,0.628105423322293,3.27745733712719,0.8805763587326974,Green
2011,四川省,成都市,510100,西部,1.8774232600978713,22837.577070255735,30472.051558763396,0.7494597804225598,2.505035372330913,0.8080822930823813,Green
2012,四川省,成都市,510100,西部,1.6157797840965002,27585.796616742948,34595.498891168805,0.7973810900522893,2.0263582924828873,0.7508825920867145,Yellow
2013,四川省,成都市,510100,西部,1.4500741126048595,32707.5868859058,42880.2471556711,0.7627658200561486,1.9010737954908847,0.7336680425191248,Yellow
2014,四川省,成都市,510100,西部,1.2738603878718868,37692.57754161051,40990.52528432592,0.9195436574710963,1.3853180080380552,0.6483013450767373,Yellow
2015,四川省,成都市,510100,西部,1.1700106692718815,42754.914664529984,43357.489438149445,0.9861021756234514,1.1865004440662106,0.606514317829095,Yellow
2016,四川省,成都市,510100,西部,1.2537526495550533,48969.66893130348,50734.601547613616,0.9652124474722882,1.2989395783678486,0.6309357077431887,Yellow
2011,江苏省,扬州市,321000,东部,1.8102479257454416,6691.1065264427925,9900.546741702638,0.6758320223123451,2.678547132986857,0.8261465798907482,Green
2012,江苏省,扬州市,321000,东部,1.5499466335526682,8140.1964001206525,10648.879795365672,0.7644180943485921,2.0276163594393632,0.7510500024646645,Yellow
2013,江苏省,扬州市,321000,东部,1.3048591592578185,9758.363380114619,11251.278380596412,0.8673115223016412,1.5044872870995978,0.6705601441030149,Yellow
2015,江苏省,扬州市,321000,东部,1.0077384295487495,13959.573615553443,13348.574010279714,1.0457726499327344,0.963630507657251,0.5503954523138663,Yellow
2016,江苏省,扬州市,321000,东部,0.897083162350522,16550.27823477577,14362.649181779976,1.1523137566968464,0.7785059903494052,0.49285356434959243,Orange
