city,Q_w1,K_100m,V_100m,house_price,gdp_per_capita,gdp_100m,pop_10k,per_capita_area_m2,fai_100m,city_tier,region4,province,fai_gdp_ratio,OCR_w1,Kstar_100m,ocr_cluster,ocr_color,Q_w2_extended,OCR_w2_extended
太原市,1.3387645771479706,11372.812842417246,15189.43591134439,8180.0,65858.5,2845.47435,503.5834146341464,36.864000000000004,2026.66015,二线,中部,山西省,0.7132940057760456,0.7130999431692884,15951.563060730754,0,绿色(适度),1.1664857913353959,0.772079651787258
广安市,1.3352674691239783,4814.370650819199,6368.923709872808,5187.75,32088.0,1042.11935,332.9788925438596,36.864000000000004,1097.08525,三线及以下,西部,四川省,1.0481692184567009,1.4525249865868748,3304.5574160570636,1,黄色(轻度过度),0.8517798349553021,2.049367251521088
济南市,1.3300172207183492,20792.148605756876,27778.713280968914,10431.75,88459.0,6318.17425,720.6112267657992,36.864000000000004,3736.3718,二线,东部,山东省,0.590772713073725,0.5098980024673316,40745.18804702393,0,绿色(适度),1.5801769721067978,0.5341643034646915
张家界市,1.329391707144737,1618.1814599673105,2151.1970135359056,3728.0,32300.0,493.099,154.25519287833828,37.408,305.7042,三线及以下,中部,湖南省,0.6199651591262607,1.079824736620846,1498.5593542070292,1,黄色(轻度过度),1.6751446345517425,1.5265349605028222
绵阳市,1.325065969070932,6919.076859386429,9169.051498696712,4951.5,36978.0,1765.3762499999998,501.95062381852557,36.864000000000004,1172.029,三线及以下,西部,四川省,0.6635890919668826,1.0840459137986471,6381.217228581641,1,黄色(轻度过度),1.264057215881241,0.9475948214708908
中山市,1.3212672006391843,7224.339613643706,9611.835503768794,7008.0,96750.5,3106.4053,370.72837696335074,36.864000000000004,1102.2116,二线,东部,广东省,0.354692953316997,0.3285796450795293,21988.896154870465,0,绿色(适度),1.858800384109506,0.5390752485043805
乌鲁木齐市,1.3127351330853643,8135.754992993576,10692.313761319481,6178.5,72102.5,2545.3082,468.8444805194805,36.864000000000004,1658.0858,二线,西部,新疆维吾尔自治区,0.6515075127320082,0.506453234973455,16155.333726503617,0,绿色(适度),0.9271592016953433,0.7453318467122146
玉林市,1.30430418462721,6793.4125937257395,8814.985210336217,4273.0,26277.5,1499.9776499999998,559.5158108108108,36.864000000000004,1399.6107000000002,三线及以下,西部,广西壮族自治区,0.9326745621998055,1.6194701611416722,4188.9127161094575,2,橙色(中度过度),1.0924135394185572,2.192179548918367
海口市,1.2988925298842342,4992.685848843825,6439.287752862156,7265.0,54424.5,1209.81505,240.3263157894737,36.864000000000004,1141.887,二线,东部,海南省,0.9410798752369628,0.9044903348730073,5506.166618468413,0,绿色(适度),1.8036540617513277,1.1314895138141858
天津市,1.2933943557543588,69257.8047838321,90522.4304027214,19231.0,111506.5,17211.79,1270.9461504424778,36.864000000000004,12902.17965,新一线,东部,天津市,0.7510948496132313,0.5764113490922865,120135.1288543376,0,绿色(适度),1.0497451551437404,0.9964955984965981
