country_code,country_name,region,continent,income_group,latest_q_year,latest_q,latest_urban_pct,avg_q_2010s,avg_ci_gdp_2010s,avg_muq_2010s,q_crossover_year,q_crossover_urban_pct,q_crossover_services_pct,q_crossover_hc,ever_above_1,ever_below_1,gdp_per_capita
IRN,"Iran, Islamic Rep.","Middle East, North Africa, Afghanistan & Pakistan",MENA,Lower middle income,2019.0,3.1093032137609615,75.2038879394531,4.910965612722508,0.26540916560344396,33.79519699711177,,,,,True,False,3997.493544958494
IND,India,South Asia,South Asia,Lower middle income,2019.0,4.588099952814902,33.8139578818147,4.89053994683345,0.3053734116608312,36.75731888216056,,,,,True,False,2041.42863698585
COM,Comoros,Sub-Saharan Africa,Africa,Lower middle income,2019.0,4.372746750370085,31.7287584068243,4.865572579531428,0.14942242561341637,22.117111622347448,,,,,True,False,1510.232181515921
ALB,Albania,Europe & Central Asia,Europe & Central Asia,Upper middle income,2019.0,4.590877778475723,56.7639071287255,4.703928971810012,0.2733167927786367,18.471175053142897,,,,,True,False,6069.439031310292
BTN,Bhutan,South Asia,South Asia,Lower middle income,2019.0,4.235568610184765,39.0746823405146,4.680404679201969,0.5844051964230985,17.91963036926851,,,,,True,False,3576.8798710050287
THA,Thailand,East Asia & Pacific,East Asia & Pacific,Upper middle income,2019.0,4.67204386786968,55.9266166687012,4.652540894675004,0.24357731069504623,25.048126553897234,,,,,True,False,7605.696577977592
PAK,Pakistan,"Middle East, North Africa, Afghanistan & Pakistan",MENA,Lower middle income,2019.0,3.638741185442128,37.1091631735769,4.516302378122503,0.13920500399807917,17.688355520359114,,,,,True,False,1390.4169098174484
SAU,Saudi Arabia,"Middle East, North Africa, Afghanistan & Pakistan",MENA,High income,2019.0,4.316974070464708,83.6394643268678,4.4636041697509,0.2402864094154908,28.561204579965754,,,,,True,False,29566.793382743577
LBN,Lebanon,"Middle East, North Africa, Afghanistan & Pakistan",MENA,Upper middle income,2019.0,4.488554997120664,89.4986743521503,4.397666726081023,0.22840300284016046,23.54883645493357,,,,,True,False,8905.880054974361
IRQ,Iraq,"Middle East, North Africa, Afghanistan & Pakistan",MENA,Upper middle income,2019.0,3.6654491354109773,69.8683395385742,4.386138084884498,0.17853848624605842,16.52724449886774,1991.0,69.3644144079145,37.7441604085594,1.5736453533172607,True,True,5671.856863294192
RUS,Russian Federation,Europe & Central Asia,Europe & Central Asia,Upper middle income,2019.0,3.4117137535320747,74.6222859951926,4.345830533809215,0.2138973921168072,30.70717605150922,,,,,True,False,11640.266033639075
BRN,Brunei Darussalam,East Asia & Pacific,East Asia & Pacific,High income,2019.0,3.4349669148798427,74.7923311783673,4.34237514730603,0.33233069819067207,17.693938375896295,,,,,True,False,30426.57306565284
GTM,Guatemala,Latin America & Caribbean,Latin America,Upper middle income,2019.0,4.026850431683056,54.1882267267974,4.241245495198237,0.14545693912058494,30.61666523634422,,,,,True,False,4511.998395526965
DOM,Dominican Republic,Latin America & Caribbean,Latin America,Upper middle income,2019.0,3.991085560944902,73.5403464672933,4.222880434931843,0.2324774719072556,22.36370309263712,,,,,True,False,8183.01623600375
HND,Honduras,Latin America & Caribbean,Latin America,Lower middle income,2019.0,3.972659065742314,56.3791561389766,4.2214872809409725,0.23304027052988632,21.431398236301256,,,,,True,False,2502.3274432807307
MNE,Montenegro,Europe & Central Asia,Europe & Central Asia,Upper middle income,2019.0,3.874680642329978,65.1686759904159,4.202168726420143,0.2324838555630829,20.10113024977228,,,,,True,False,8749.023751726438
SLV,El Salvador,Latin America & Caribbean,Latin America,Upper middle income,2019.0,4.209028175454445,72.4148941040039,4.12541925194443,0.1627562389118244,26.68844367889375,,,,,True,False,4320.116715346275
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",MENA,High income,2019.0,3.883426580809558,100.0,4.112344884772432,0.26417882887816263,22.083073412765867,,,,,True,False,27259.743859932696
NER,Niger,Sub-Saharan Africa,Africa,Low income,2019.0,3.3288003023479145,16.813146499685,4.026590861810943,0.2968356235037439,18.224934327408423,,,,,True,False,561.6913043496975
MRT,Mauritania,Sub-Saharan Africa,Africa,Lower middle income,2019.0,3.425494755088601,56.0596215779146,3.978997351292942,0.3243728980949677,9.216353731913921,,,,,True,True,1767.0727106209986
UZB,Uzbekistan,Europe & Central Asia,Europe & Central Asia,Lower middle income,2019.0,3.5131678839482827,50.5920104980469,3.9482044275190047,0.2414926428462627,36.73932945362141,2000.0,47.6731005044,37.1943727730679,,True,True,2041.3848072943115
MYS,Malaysia,East Asia & Pacific,East Asia & Pacific,Upper middle income,2019.0,3.4979372780341795,74.8377707734042,3.9157760456685566,0.24601718760789293,26.83580705430097,,,,,True,False,10920.191763972029
BOL,Bolivia,Latin America & Caribbean,Latin America,Upper middle income,2019.0,3.610248405126713,69.7334986708387,3.915360711633253,0.20483959374849867,24.50723820675476,,,,,True,False,4203.154928557877
