year,province,city,city_code,region,city_tier,gdp_100m,gdp_per_capita,pop_10k,hc_city,K_100m,Kstar_100m,V_100m,urban_q,OCR,UCI,UCI_norm,UCI_class,fai_gdp_ratio,re_gdp_ratio,debt_gdp_ratio,tertiary_share_pct
1996,山东省,潍坊市,370700,东部,三线及以下,630.0,5713.0,841.636224156692,2.3444679148904393,280.73750375015624,4266.71502537532,,,0.06579710669227581,,,,0.0795787301587301,0.0068190476190476,,31.4
1997,山东省,潍坊市,370700,东部,三线及以下,718.0,6468.0,847.1333079434168,2.388667183355449,312.19132856264844,4906.865185961945,,,0.06362337597042546,,,,0.0633575208913649,0.0074706128133704,,32.87
1998,山东省,潍坊市,370700,东部,三线及以下,774.0,7223.0,853.9791186071816,2.430418099167611,384.795262134516,5472.328919385186,,,0.07031654489396949,,,,0.1139709302325581,0.0101310077519379,,33.3
1999,山东省,潍坊市,370700,东部,三线及以下,647.3,7978.0,858.321610446137,2.4726747569610756,441.9328990277902,5402.699665894351,,,0.08179853154110754,,,,0.1179938204850919,0.0105780936196508,,33.5
2000,山东省,潍坊市,370700,东部,三线及以下,714.56,8733.0,862.9501958650708,2.5195111725861086,497.9610540764006,6118.5691913811315,,,0.08138521253920754,,,,0.1093327362292879,0.0170623880429914,,33.5
2001,山东省,潍坊市,370700,东部,三线及以下,802.0,9488.0,864.3397932535363,2.5571734940710122,581.8218013725806,6860.342681076495,,,0.08480943714043213,,,,0.1356094763092269,0.0199061097256857,,35.4
2002,山东省,潍坊市,370700,东部,三线及以下,895.0,10570.0,865.9030903155603,2.5950069049321094,695.4426113039516,7667.570945482475,,,0.09069920790412608,,,,0.1594546368715084,0.0228122905027933,,35.87
2003,山东省,潍坊市,370700,东部,三线及以下,1030.0,12152.0,866.1585310119696,2.6520095033938302,1177.764580738754,8934.225439151976,,,0.13182615423800473,,,,0.5020331067961166,0.0360198058252427,,33.98
2004,山东省,潍坊市,370700,东部,三线及以下,1246.41,14678.0,869.1625136017409,2.6815159106096456,1944.0130517018165,10235.93679748991,,,0.18992038444185524,,,,0.6620106546000112,0.0487113389655089,,30.69
2005,山东省,潍坊市,370700,东部,三线及以下,1471.18,17279.0,870.7462459194777,2.710145687452294,2947.259899116725,11558.701383549651,,,0.25498192239063006,,,,0.7480033034706833,0.0536962846150708,,29.45
2006,山东省,潍坊市,370700,东部,三线及以下,1720.88,19677.0,873.9034929270946,2.703534791545049,3843.117404160889,12351.837410757475,,,0.3111373050307347,,,,0.6062133908232996,0.0571944586490632,,29.55
2007,山东省,潍坊市,370700,东部,三线及以下,2056.02,23349.0,877.827062023939,2.696482562457935,4829.179533952844,13329.576005819294,,,0.3622905583676907,,,,0.5730576550811763,0.0761799009737259,,30.34
2008,山东省,潍坊市,370700,东部,三线及以下,2491.81,28106.0,881.2499673558215,2.693622097576629,6111.117057255202,14566.685212038356,,,0.4195269526525353,,,,0.6113614200119593,0.0788328965691605,,30.3
2009,山东省,潍坊市,370700,东部,三线及以下,2707.23,30338.0,886.7368335146898,2.6712847062370284,7664.327304392441,14707.57286613438,,,0.5211143520519488,,,,0.6865933444886471,0.0984418390753648,0.0025856687462831,32.48
2010,山东省,潍坊市,370700,东部,三线及以下,3090.92,34273.0,892.7958868335146,2.6324070209004717,9585.31763917282,14828.629528367566,,,0.6464061713077294,,,,0.7454760071435043,0.1189375655144746,0.0022646978893015,33.65
2011,山东省,潍坊市,370700,东部,三线及以下,3541.84,38833.0,896.6990206746464,2.620531083715371,11710.070357214176,15570.423354558337,14218.17444929184,1.2141835203007558,0.7520714171067148,1.614452421249869,0.76570250171345,黄灯-轻度失调,0.735216328236171,0.1148400266528132,0.0050821042170171,34.48
2012,山东省,潍坊市,370700,东部,三线及以下,4012.43,43681.0,898.0273122959738,2.6445816280719607,14137.466839353468,17140.394510010763,14566.523142859978,1.030348881336519,0.824804051686007,1.2492044373816442,0.6950669533405488,黄灯-轻度失调,0.750891604339515,0.1168369292423793,0.0077259914814713,36.28
2013,山东省,潍坊市,370700,东部,三线及以下,4420.7,50065.0,902.11436343852,2.781384040858807,16860.539097385794,21986.75550035013,15496.381970380671,0.919091725411281,0.7668498017871395,1.1985289991199615,0.6836623516374988,黄灯-轻度失调,0.775882914470559,0.1361890650801909,0.0097269663175515,38.23
2014,山东省,潍坊市,370700,东部,三线及以下,4786.0,51826.0,907.6318824809574,2.7315423602203035,19986.595842516504,21317.681408676577,15621.0998472235,0.7815788126356916,0.937559552530966,0.8336311123125988,0.5836779646678416,橙灯-显著失调,0.8293112620142081,0.0940267655662348,0.019640618470539,39.66
2015,山东省,潍坊市,370700,东部,三线及以下,5170.5,55824.0,913.1596191512514,2.7982936873176842,23503.96975039068,24424.49225495637,15392.32081429084,0.6548817488175585,0.9623114988448166,0.680529900768821,0.5277951997875313,橙灯-显著失调,0.8735525964606905,0.0904966637655932,0.0211584953099313,43.02
2016,山东省,潍坊市,370700,东部,三线及以下,5170.6,59275.0,920.6082698585418,2.856793709487548,27441.305862871144,26646.299614333497,16704.207272759086,0.6087249402864733,1.0298355216313038,0.5910894773975428,0.4889909680860034,橙灯-显著失调,0.9887700847097048,0.0857333965110432,0.0485436893203883,43.02
2017,山东省,潍坊市,370700,东部,三线及以下,5854.92,62553.0,927.7606093579976,2.8803508470496664,31322.341038604387,29326.334609563848,21332.612755179103,0.6810669971598524,1.0680619128034365,0.6376662148472233,0.5098789423742499,橙灯-显著失调,0.8972113143948679,0.0861014838802238,0.0519221441112773,45.085
2018,山东省,潍坊市,370700,东部,三线及以下,6156.78,65721.0,933.8911860718172,2.910426930993089,35280.1566629142,31417.88845020669,24801.26006918128,0.7029804404256478,1.1229321384480917,0.6260221934668081,0.5048036629971726,橙灯-显著失调,0.8972113143948678,0.1056084836554172,0.0585370924411786,47.15
2019,山东省,潍坊市,370700,东部,三线及以下,5689.0,60760.0,937.9782372143634,2.850155573713093,38620.38399736089,27921.803579505427,26243.007249333623,0.6795118156030486,1.3831622261574896,0.4912741273240049,0.43805265766360413,橙灯-显著失调,0.8972113143948678,0.1340548778344173,0.0856811390402531,50.62
2020,山东省,潍坊市,370700,东部,三线及以下,5872.0,62524.0,939.0,2.8398628144100364,41957.78963561951,27954.854228337783,27103.776768,0.645977231007198,1.500912481707273,0.4303896722028757,0.4016149128154924,橙灯-显著失调,0.8972113143948678,,0.1147036784741144,51.57
2021,山东省,潍坊市,370700,东部,三线及以下,7011.0,74606.0,938.0,2.9224526400326627,46150.248679060955,34043.768965884425,27262.612153,0.5907359750667919,1.3556151413584243,0.4357696790512621,0.40503608777759853,橙灯-显著失调,0.8972113143948678,,0.1022768478105833,50.65
2022,山东省,潍坊市,370700,东部,三线及以下,7306.0,77655.0,938.0,2.918811085877688,50397.76210807681,34540.506445728905,26806.46885,0.5318979996078826,1.4590915795419301,0.36454051758345946,0.35588480701509956,红灯-严重失调,0.8972113143948678,,0.0988926909389542,49.17
2023,山东省,潍坊市,370700,东部,三线及以下,7606.0,80970.0,937.0,2.947081256750794,54702.06325996033,36555.70907799671,25267.3467345,0.4619084770975113,1.4964027409028187,0.3086792508939338,0.31007712772510015,红灯-严重失调,0.8972113143948677,,0.091101761767026,50.53
1990,山东省,济宁市,370800,东部,三线及以下,98.35,1384.0,679.5198658468419,1.8413221925407972,42.74288728462961,599.6061334406176,,,0.07128494006451434,,,,0.1241159125571937,,,23.528
1991,山东省,济宁市,370800,东部,三线及以下,110.07,1496.0,695.5389155953046,1.876539362104,54.216542920398126,691.167060205844,,,0.07844202370444463,,,,0.1236558553647678,,,21.286
1992,山东省,济宁市,370800,东部,三线及以下,161.5034,2169.0,700.7352934600335,1.98106984806629,67.65681577437822,1032.0069121274892,,,0.06555849091640602,,,,0.1000047057832838,,,24.043
1993,山东省,济宁市,370800,东部,三线及以下,212.9367,2842.0,705.0998770262717,2.0519328168620388,86.2305749856593,1357.1393253328695,,,0.06353848376216589,,,,0.1031132726298472,,,26.799
1994,山东省,济宁市,370800,东部,三线及以下,264.3701,3516.0,707.155997764114,2.122942118645,110.05074623637633,1723.728314326027,,,0.06384460086994966,,,,0.1064102937510709,,,29.555
1995,山东省,济宁市,370800,东部,三线及以下,368.18,4189.0,711.9224594745668,2.1854511742744003,164.9007089245575,2270.784672689795,,,0.07261838205435346,,,,0.1639211798576783,0.0142286381661144,,28.7
1996,山东省,济宁市,370800,东部,三线及以下,432.19,4862.0,716.6515371716042,2.233724011677005,243.3742734783296,2681.919864727284,,,0.09074628838810497,,,,0.2006492514866146,0.0121476665355514,,30.1
1997,山东省,济宁市,370800,东部,三线及以下,480.57,5535.0,723.4086975964225,2.2796067131539846,299.8463598044131,3073.9559088024484,,,0.09754413163369909,,,,0.1428320536030131,0.010104043115467,,32.69
1998,山东省,济宁市,370800,东部,三线及以下,515.51,6209.0,728.1190832867524,2.3225881408059172,352.49554181419245,3435.5540183332982,,,0.10260224113291626,,,,0.1312127795775057,0.0116874551415103,,34.5
1999,山东省,济宁市,370800,东部,三线及以下,530.0,6882.0,733.2500391280043,2.3654468060926046,420.9273647234828,3758.7969542271844,,,0.11198459769158407,,,,0.1623709433962264,0.0142509433962264,,36.0
2000,山东省,济宁市,370800,东部,三线及以下,578.44,7555.0,738.3436109558412,2.412334850803654,494.9281964873087,4252.425115263939,,,0.11638728092136892,,,,0.1643164373141553,0.0141599820206071,,37.2
2001,山东省,济宁市,370800,东部,三线及以下,650.02,8228.0,739.6613974287311,2.4501692002581095,584.0106866629433,4784.973867417123,,,0.12205096680667682,,,,0.175115996430879,0.0153570659364327,,37.46
2002,山东省,济宁市,370800,东部,三线及以下,743.5,9348.0,744.6615092230296,2.501103319988027,696.4335523297962,5554.784904291066,,,0.12537543115158284,,,,0.1904820443846671,0.0206236718224613,,37.71
2003,山东省,济宁市,370800,东部,三线及以下,882.61,11063.0,746.6428619340413,2.5783544576272672,1017.6118747133064,6808.282964576005,,,0.14946674220328615,,,,0.4033491576120823,0.0282183523866713,,36.58
2004,山东省,济宁市,370800,东部,三线及以下,1102.16,13767.0,749.829849077697,2.6304624517101733,1474.131280977641,8207.34589565524,,,0.17961120436729838,,,,0.4603687304928504,0.0252167561878493,,34.54
2005,山东省,济宁市,370800,东部,三线及以下,1266.19,15748.0,753.0822582448295,2.635752808931747,2067.639716928759,8855.255917017947,,,0.233492937562108,,,,0.5269469826803245,0.0313434002795788,,31.29
2006,山东省,济宁市,370800,东部,三线及以下,1456.0939,18563.0,758.736590273896,2.656676942866101,2457.523131082321,9803.821397203734,,,0.2506699205866052,,,,0.3387593341336022,0.0314475598036637,,31.98
2007,山东省,济宁市,370800,东部,三线及以下,1736.01,21992.0,764.7554164337619,2.648479090983762,2970.959774528205,10570.39832996362,,,0.28106412660973296,,,,0.3665375199451616,0.0330136923174405,,32.39
2008,山东省,济宁市,370800,东部,三线及以下,2122.16,26721.0,768.9424259362772,2.6530947836752388,3638.1004858017945,11739.230792313798,,,0.3099096141958315,,,,0.3843672013420289,0.0325452369284125,,32.13
2009,山东省,济宁市,370800,东部,三线及以下,2238.13,27979.0,776.9426048071548,2.6071964138461143,4540.823761511705,11298.537623642436,,,0.40189482150415046,,,,0.4846136283415173,0.0368016156344805,0.0044680157095432,33.06
2010,山东省,济宁市,370800,东部,三线及以下,2542.82,31561.0,787.8961207378424,2.568104138546904,5749.999473436119,11392.813452345288,,,0.5047040836302329,,,,0.5648126489488048,0.0529332394742844,0.0039326417127441,34.05
2011,山东省,济宁市,370800,东部,三线及以下,2896.69,35729.0,791.6064840693124,2.555849582366084,6854.154799764312,11919.51046963466,,,0.5750366021511952,,,,0.480429490211241,0.0629122550221114,0.0069044323003151,34.85
2012,山东省,济宁市,370800,东部,三线及以下,3189.37,39165.0,791.6999441028507,2.5594028201980423,8321.191559776096,12543.279151431938,,,0.6633984191307861,,,,0.5674300880738202,0.0686882362347423,0.0122281202870786,35.87
2013,山东省,济宁市,370800,东部,三线及以下,3501.54,41292.0,792.3541643376187,2.625188347426785,10093.44318178729,14507.683988276267,,,0.695730840976675,,,,0.6249567904407776,0.0786442251123791,0.0202767924970156,36.92
2014,山东省,济宁市,370800,东部,三线及以下,3800.0607,46213.0,803.8497484628284,2.6392035176021227,12126.951122697925,15531.70859560228,,,0.7807866757255287,,,,0.6679314622526951,0.0937154503874109,0.0258680078452431,39.58
2015,山东省,济宁市,370800,东部,三线及以下,4013.1243,48529.0,810.7097149245388,2.6831651825789535,14411.608766563028,17103.90534000078,16149.097551221195,1.12056175079422,0.8425917052322959,1.329898863038641,0.7123055235300266,黄灯-轻度失调,0.7203876540778964,0.0768666447734997,0.0372776891062158,41.43
2016,山东省,济宁市,370800,东部,三线及以下,4301.82,51662.0,818.7098937954164,2.7413770749433053,16970.002428234875,19359.90304234892,17334.485634218,1.0214780880276535,0.8765541021106229,1.1653337604239982,0.6759272369574189,黄灯-轻度失调,0.7622294982123845,0.0647444569972709,0.0567201789010232,43.51
2017,山东省,济宁市,370800,东部,三线及以下,4636.77,55430.0,825.2520961430967,2.7777580303476945,19445.36873997461,21235.589430378626,21107.26027811201,1.0854646450967518,0.9156971509421343,1.1853969884911715,0.6806282681969476,黄灯-轻度失调,0.7168495381809921,0.0869637269047203,0.0686900579498228,44.115
2018,山东省,济宁市,370800,东部,三线及以下,4930.58,58972.0,832.7288988261598,2.8173396576280307,22007.58429894031,23248.104192891977,24918.18385570128,1.132254386361756,0.9466399546535519,1.196077115481709,0.6830983886662803,黄灯-轻度失调,0.7168495381809921,0.081384482150173,0.0692210652702116,44.72
2019,山东省,济宁市,370800,东部,三线及以下,4370.0,52331.0,835.5326998323085,2.7252788567991435,24039.837565844227,19280.44564696768,28003.51477658401,1.1648795338106348,1.2468507215042033,0.9342574164815189,0.6150621585111546,黄灯-轻度失调,0.7168495381809921,0.1046068421052631,0.0907780320366132,48.2
2020,山东省,济宁市,370800,东部,三线及以下,4494.0,53773.0,836.0,2.714267300464622,26059.367512137393,19230.818395866376,28849.002336,1.1070492145507105,1.3550836462445508,0.816960058236082,0.5781147863508861,橙灯-显著失调,0.7168495381809921,,0.1213128615932354,49.11
2021,山东省,济宁市,370800,东部,三线及以下,5070.0,60728.0,832.0,2.7474642409157752,28390.826295108152,21305.46330564938,30990.474528,1.0915664872120956,1.3325608501355617,0.8191494497988968,0.5788518347387712,橙灯-显著失调,0.7168495381809921,,0.1245447140039447,48.36
2022,山东省,济宁市,370800,东部,三线及以下,5317.0,63954.0,828.0,2.7536927023173257,30782.773974861077,21924.289824816387,30416.17014,0.9880906173316132,1.4040488527029804,0.7037437589364555,0.5370326212169295,橙灯-显著失调,0.7168495381809921,,0.1127287944329509,49.61
2023,山东省,济宁市,370800,东部,三线及以下,5516.0,66741.0,824.0,2.781074874244286,33197.777328724376,23137.587487687906,26842.140312,0.8085523330736615,1.434798565165437,0.5635302074479234,0.475841871477435,橙灯-显著失调,0.7168495381809921,,0.1179827773749093,51.03
