pref_code,prefecture_jp,prefecture_en,region,year,gdp_nominal_myen,gfcf_nominal_myen,population,gfcf_private_housing_myen,gfcf_private_equip_myen,gdp_per_capita_myen,gdp_growth_nominal,delta_gdp_myen,gfcf_gdp_ratio,pop_growth,muq,muq_ma3,ln_gdp,ln_pop,ln_gdp_pc,sna_basis
24,三重県,Mie,中部,1982,3616284.0,1000079.0,1716142.0,,,2.107217234937435,0.043640124811403336,151216.0,0.2765487998177134,0.008124837353456593,0.1512040548796645,0.16614438404069884,15.100957537233123,14.355589306189154,0.745368231043968,68SNA_S50
24,三重県,Mie,中部,1983,3808628.0,968784.0,1728178.0,,,2.2038401136919923,0.05318830047640066,192344.0,0.25436561407414954,0.007013405650581284,0.19854167698888503,0.18582141228702873,15.152779577262637,14.362578232300308,0.7902013449623286,68SNA_S50
24,三重県,Mie,中部,1984,4023626.0,1035045.0,1736656.0,,,2.316881408868538,0.05645024927611719,214998.0,0.257241851007027,0.004905744662876188,0.20771850499253655,0.20842717416002668,15.20769404409638,14.367471983008029,0.8402220610883516,68SNA_S50
24,三重県,Mie,中部,1985,4263107.0,1093414.0,1747311.0,,,2.4398100853253943,0.059518702782018096,239481.0,0.2564828891228862,0.006135354382214908,0.21902134049865832,0.19310488729180428,15.265508795127406,14.373588592734544,0.8919202023928615,68SNA_S50
24,三重県,Mie,中部,1986,4437668.0,1144101.0,1756347.0,,,2.5266464998089786,0.04094689624257608,174561.0,0.25781581677583815,0.005171374758128344,0.15257481638421783,0.1759168396418449,15.305639571204098,14.378746641855725,0.9268929293483723,68SNA_S50
24,三重県,Mie,中部,1987,4650948.0,1365828.0,1765155.0,,,2.63486662644357,0.048061279032140414,213280.0,0.2936665815227347,0.005014954334194854,0.15615436204265837,0.19482160091377065,15.35258162775242,14.383749063190582,0.9688325645618373,68SNA_S50
24,三重県,Mie,中部,1988,5025499.0,1358370.0,1771876.0,,,2.836258857843325,0.08053218397625606,374551.0,0.2702955467705794,0.0038075976330691486,0.27573562431443566,0.23253457013730036,15.430035310461736,14.387549430271992,1.0424858801897436,68SNA_S50
24,三重県,Mie,中部,1989,5426947.0,1510829.0,1782276.0,,,3.044953194679163,0.07988221667141904,401448.0,0.27839391097794025,0.005869485223571003,0.265713724054807,0.26160189080605734,15.506887287012963,14.393401757174772,1.1134855298381927,68SNA_S50
24,三重県,Mie,中部,1990,5831999.0,1664440.0,1792514.0,,,3.2535305163585893,0.07463717629820232,405052.0,0.2853978541491519,0.005744340382746627,0.24335632404892937,0.22350190388012794,15.578870381202853,14.399129661746192,1.1797407194566594,68SNA_S50
24,三重県,Mie,中部,1991,6108501.0,1712769.0,1803103.0,,,3.387771524976665,0.047411187827707035,276502.0,0.2803910484749041,0.005907345772473649,0.16143566353664737,0.13896712979318465,15.625191965532549,14.405019627564307,1.2201723379682423,68SNA_S50
24,三重県,Mie,中部,1992,6130039.0,1778618.0,1813738.0,,,3.379781975125404,0.0035259059464833875,21538.0,0.29014790933630275,0.005898165551274648,0.01210940179397712,0.057045765763315055,15.628711670045499,14.410900467031839,1.217811203013661,68SNA_S50
24,三重県,Mie,中部,1993,6125588.0,1848600.0,1822556.0,,,3.360987536185445,-0.0007260965223875315,-4451.0,0.30178327370368363,0.004861782683055704,-0.002407768040679433,0.014344392191647272,15.62798530978736,14.415750469416205,1.2122348403711551,68SNA_S50
24,三重県,Mie,中部,1994,6182676.0,1712732.0,1832621.0,,,3.3736795551289656,0.009319595114787305,57088.0,0.27702114747724127,0.005522464055974119,0.033331542821644015,0.024654184224521685,15.637261745420961,14.421257740576701,1.2160040048442606,68SNA_S50
24,三重県,Mie,中部,1995,6253352.0,1642147.0,1841358.0,,,3.396054433738578,0.011431296092501153,70676.0,0.26260268093016353,0.004767488749719773,0.043038777892600355,0.16161084434766784,15.648628197944415,14.426013900843273,1.2226142971011413,68SNA_S50
24,三重県,Mie,中部,1996,7292660.0,2544441.0,1846478.0,,,3.9494973674205704,0.16620014353901724,1039308.0,0.3489043778264721,0.0027805565240437424,0.40846221232875907,0.1548438305358915,15.802378920833002,14.428790598771068,1.373588322061935,93SNA_H21
24,三重県,Mie,中部,1997,7324491.0,2442807.0,1851030.0,,,3.9569812482779856,0.004364799675290021,31831.0,0.33351218535185584,0.002465233812696477,0.013030501386315006,0.12423045455148903,15.806734222398392,14.431252798879724,1.375481423518666,93SNA_H21
24,三重県,Mie,中部,1998,7210554.0,2334710.0,1854551.0,,,3.888032197550782,-0.015555620178931195,-113937.0,0.32379065464317996,0.0019021841893431812,-0.048801350060607096,-0.018094484737163973,15.791056344034647,14.433153176207682,1.3579031678269644,93SNA_H21
24,三重県,Mie,中部,1999,7170027.0,2189157.0,1855659.0,,,3.8638710021614964,-0.005620511267234063,-40527.0,0.305320607579302,0.0005974491939018112,-0.018512605537199935,0.01031294787079381,15.785419978259089,14.433750446999868,1.3516695312592213,93SNA_H21
24,三重県,Mie,中部,2000,7391360.0,2252689.0,1857339.0,,,3.979542775982198,0.03086920035308105,221333.0,0.3047732758247467,0.0009053387502768739,0.09825279921018835,-0.021770361169555216,15.815822308468805,14.4346553761782,1.3811669322906042,93SNA_H21
24,三重県,Mie,中部,2001,7085853.0,2106200.0,1862124.0,,,3.8052530336325616,-0.04133298878690794,-305507.0,0.2972401487866034,0.0025762663681752063,-0.14505127718165417,-0.004702660039843765,15.773610819061126,14.437228329660874,1.3363824894002532,93SNA_H21
24,三重県,Mie,中部,2002,7148447.0,1914746.0,1862592.0,,,3.8379027720509913,0.008833657712063792,62594.0,0.2678548221732637,0.00025132590525656084,0.03269049785193441,-0.01875757243452118,15.782405688281044,14.437479623989065,1.3449260642919787,93SNA_H21
24,三重県,Mie,中部,2003,7259469.0,1979423.0,1864210.0,,,3.8941261982287405,0.01553092580808113,111022.0,0.2726677391969027,0.0008686819228258535,0.056088062026156106,0.07514794961096453,15.797817243630215,14.438347928826111,1.3594693148041026,93SNA_H21
24,三重県,Mie,中部,2004,7540528.0,2056550.0,1866540.0,,,4.039842703612031,0.03871619260306769,281059.0,0.2727328908532665,0.0012498591896834554,0.13666528895480295,0.09220646684557175,15.835802764057595,14.439597007592011,1.3962057564655843,93SNA_H21
24,三重県,Mie,中部,2005,7723922.0,2186749.0,1866963.0,,,4.137158583217771,0.024321108548367,183394.0,0.28311381186915147,0.00022662252081384615,0.08386604955575605,0.11389299946550839,15.859832824084938,14.43982360443782,1.4200092196471186,93SNA_H21
24,三重県,Mie,中部,2006,8012550.0,2382448.0,1872922.0,,,4.278101277041969,0.037368062494675724,288628.0,0.29733954858316014,0.0031918147279834663,0.12114765988596603,0.0827925065644625,15.896519620441202,14.443010336138357,1.453509284302845,93SNA_H21
24,三重県,Mie,中部,2007,8113548.0,2329085.0,1876000.0,,,4.324918976545842,0.012604975943987906,100998.0,0.28706122155190306,0.00164342134910056,0.04336381025166535,-0.07068384959521865,15.909045815010044,14.444652408548308,1.4643934064617377,93SNA_H21
24,三重県,Mie,中部,2008,7364075.0,1990299.0,1875464.0,,,3.9265349801435803,-0.09237302842110506,-749473.0,0.270271419017324,-0.00028571428571433355,-0.3765630189232874,-0.14936487865259082,15.81212400596548,14.44436665343849,1.36775735252699,93SNA_H21
24,三重県,Mie,中部,2009,7155303.0,1817061.0,1869914.0,,,3.8265412206122846,-0.028350064332587577,-208772.0,0.2539460593073417,-0.0029592676798915196,-0.11489542728615054,-0.12856049916344217,15.783364318084422,14.441402998468416,1.3419613196160065,93SNA_H21
24,三重県,Mie,中部,2010,7331429.5,1665074.5,1858615.0,,,3.9445659805823152,0.024614820644213165,176126.5,0.2271145756772264,-0.006042523880777417,0.10577694871911136,0.03576118055745513,15.807681075312663,14.435342144663576,1.3723389306490865,interpolated
24,三重県,Mie,中部,2011,7507556.0,1513088.0,1847316.0,1175420.0,244772.0,4.064034523600727,0.024023486824772622,176126.5,0.2015420197997857,-0.00607925794206976,0.11640202023940445,0.08281028696800151,15.831420538019263,14.42924433279867,1.4021762052205924,08SNA_2022
24,三重県,Mie,中部,2012,7552565.0,1714505.0,1840544.0,1368497.0,238624.0,4.103441699845263,0.005995160076061934,45009.0,0.22700963182706801,-0.0036658590084208686,0.026251891945488638,0.10695397854893816,15.837397798627643,14.42557173806259,1.4118260605650539,08SNA_2022
