mun_code,mun_name,gdp_1000brl,year,population,uf_code,uf,regiao,gdp_pc_brl,ln_pop,ln_gdp_pc
2509602,Monte Horebe - PB,59800,2023,4429,25,PB,Nordeste,13501.919169112667,8.395929103923198,9.510587114997662
2509701,Monteiro - PB,842417,2023,33886,25,PB,Nordeste,24860.32579826477,10.430757228718052,10.121028470299214
2509800,Mulungu - PB,111589,2023,8909,25,PB,Nordeste,12525.42372881356,9.094817280720644,9.43551575602462
2509909,Natuba - PB,116149,2023,8935,25,PB,Nordeste,12999.328483491885,9.097731427593528,9.472652979993493
2510006,Nazarezinho - PB,81441,2023,7394,25,PB,Nordeste,11014.471192859075,8.908424139496578,9.306965250172912
2510105,Nova Floresta - PB,114955,2023,9840,25,PB,Nordeste,11682.418699186992,9.1942109900463,9.365840315353875
2510204,Nova Olinda - PB,69482,2023,5897,25,PB,Nordeste,11782.601322706461,8.682199026000504,9.374379258184332
2510303,Nova Palmeira - PB,54633,2023,4359,25,PB,Nordeste,12533.37921541638,8.379997952238393,9.436150701507675
2510402,Olho d'Água - PB,76534,2023,6059,25,PB,Nordeste,12631.457336194091,8.70930004894499,9.443945595560042
2510501,Olivedos - PB,53270,2023,3675,25,PB,Nordeste,14495.238095238095,8.209308411646937,9.581575467246244
2510600,Ouro Velho - PB,47542,2023,3000,25,PB,Nordeste,15847.333333333334,8.006367567650246,9.670756521197092
2510659,Parari - PB,28042,2023,1745,25,PB,Nordeste,16069.914040114612,7.4645098346365275,9.684704109626686
2510709,Passagem - PB,35352,2023,2580,25,PB,Nordeste,13702.32558139535,7.855544677915663,9.52532084787705
2510808,Patos - PB,2555214,2023,108104,25,PB,Nordeste,23636.62769185229,11.590849005717923,10.07055280871526
2510907,Paulista - PB,200281,2023,12172,25,PB,Nordeste,16454.23923759448,9.406893511016861,9.708338427406478
2511004,Pedra Branca - PB,48602,2023,3851,25,PB,Nordeste,12620.61802129317,8.25608813381491,9.443087106472456
2511103,Pedra Lavrada - PB,94715,2023,6980,25,PB,Nordeste,13569.48424068768,8.850804195756417,9.515578744788098
2511202,Pedras de Fogo - PB,836969,2023,31356,25,PB,Nordeste,26692.467151422374,10.353160915308612,10.192136675422212
2511301,Piancó - PB,246685,2023,17088,25,PB,Nordeste,14436.15402621723,9.746131741759921,9.577491035296868
2511400,Picuí - PB,270316,2023,18862,25,PB,Nordeste,14331.248011875728,9.84490459510383,9.570197607879697
2511509,Pilar - PB,158901,2023,12889,25,PB,Nordeste,12328.419582589806,9.46412951340478,9.419662411348568
2511608,Pilões - PB,133896,2023,6974,25,PB,Nordeste,19199.311729280183,8.849944227235596,9.862629709940014
2511707,Pilõezinhos - PB,64516,2023,5539,25,PB,Nordeste,11647.589817656617,8.619569258033104,9.362854554986106
2511806,Pirpirituba - PB,120990,2023,9411,25,PB,Nordeste,12856.232068855594,9.149634496858788,9.461583958658872
2511905,Pitimbu - PB,479172,2023,17166,25,PB,Nordeste,27914.016078294302,9.750685962278165,10.236884210062344
2512002,Pocinhos - PB,334112,2023,18038,25,PB,Nordeste,18522.674354141258,9.800235922725653,9.82675090134632
2512036,Poço Dantas - PB,56713,2023,3934,25,PB,Nordeste,14416.115912557194,8.277411998949004,9.576102020364988
2512077,Poço de José de Moura - PB,61655,2023,4126,25,PB,Nordeste,14943.044110518662,8.325063693631197,9.612001193655571
2512101,Pombal - PB,594290,2023,33866,25,PB,Nordeste,17548.278509419477,10.430166840225287,9.772711133451443
2512200,Prata - PB,83660,2023,4032,25,PB,Nordeste,20749.007936507936,8.302017809751204,9.940253714227122
2512309,Princesa Isabel - PB,343379,2023,21674,25,PB,Nordeste,15842.89932638184,9.98386866448294,9.670476686900637
2512408,Puxinanã - PB,189387,2023,14942,25,PB,Nordeste,12674.809262481596,9.611931318535747,9.447371780021234
2512507,Queimadas - PB,788732,2023,50698,25,PB,Nordeste,15557.457887885124,10.833641741069437,9.652295409570684
2512606,Quixaba - PB,30647,2023,1803,25,PB,Nordeste,16997.781475318912,7.497207223203318,9.740838113070469
