year,country,country_code,data_source,gdp_100m,primary_gdp_100m,secondary_gdp_100m,tertiary_gdp_100m,primary_pct,secondary_pct,tertiary_pct,total_pop_10k,urban_pop_10k,urbanization_rate,fai_total_100m,re_inv_100m,re_inv_share_pct,sales_value_100m,sales_area_10k_m2,avg_price_yuan_m2,residential_completed_10k_m2,housing_stock_10k_m2,housing_value_100m,capital_stock_100m,re_capital_stock_100m,urban_q,marginal_urban_q,real_estate_q,wb_gdp_current_usd,wb_gdp_constant_2015_usd,wb_gfcf_pct_gdp,wb_gfcf_current_usd,wb_urban_pct,wb_services_pct_gdp,wb_industry_pct_gdp,gdp_growth_pct,gdp_per_capita_yuan,urban_disposable_income_yuan,infra_inv_100m,land_transfer_revenue_100m,new_starts_10k_m2,completion_10k_m2,wb_agriculture_pct_gdp,pwt_hc,pwt_rnna,pwt_rkna,pwt_delta,pwt_investment_share,pwt_rgdpna,pwt_ctfp,pwt_labsh
2000,China,CHN,FILE_SOURCES,100280.1,14567.942782694401,45200.08331983985,40512.096907468855,14.5272519499825,45.0738315177586,40.398939477991,126743,45906,36.22,32738.623763826545,4984.1,15.223914224235093,2161.0,10240.0,2112.0,36382.0,893842.7999999999,188779.59936,181365.88582953485,22736.230672251746,1.0408771114620379,,8.303029736164428,1223754919971.05,2825096197799.54,32.6471790154044,399521459432.767,36.4320234662299,40.398939477991,45.0738315177586,8.5,7858,6280.0,9523.3,595.6,72200,53498.0,14.5272519499825,2.313537359237671,12185232.0,0.1425420492887497,0.0541414320468902,0.2698034942150116,5962253.0,0.345895767211914,0.5919618010520935
2001,China,CHN,FILE_SOURCES,110863.1,15323.616256775042,49086.348810695155,46453.11299166436,13.8221069560341,44.276543602601,41.9013296504106,127627,48064,37.66,37094.66220986063,6344.1,17.10246062926431,2284.0,10520.0,2170.0,38820.0,914785.9439999999,198508.54984799997,209392.25374791873,28398.243752084192,0.9480224138901464,0.26227359701940595,6.990169940823581,1355036590251.52,3059936242478.58,33.4598817910203,453393641323.232,37.6597442626953,41.9013296504106,44.276543602601,8.3,8622,6859.6,11012.8,1295.9,77200,55801.0,13.8221069560341,2.329683542251587,13473339.0,0.1581234782934188,0.0534421019256114,0.2980420887470245,6370915.0,0.3573537170886993,0.5880331993103027
2002,China,CHN,FILE_SOURCES,121717.4,15980.878517947292,53404.48641215912,52332.049268886425,13.1294938258189,43.8758028122184,42.9947150275034,128453,50212,39.09,42586.31850681072,7790.9,18.294373106597654,2639.0,11736.0,2250.0,44609.0,941099.2251199998,211747.32565199997,241508.9595673335,35337.196439521664,0.876767992505736,0.31086922439381,5.99219369353191,1489821682050.54,3342778183071.46,34.9878641071948,521256785555.368,39.0897827148438,42.9947150275034,43.8758028122184,9.1,9398,7702.8,13271.6,2416.8,86100,63261.0,13.1294938258189,2.345942497253418,14960161.0,0.1761312633752823,0.0528631657361984,0.3002444207668304,6969823.0,0.3629510700702667,0.6032833456993103
2003,China,CHN,FILE_SOURCES,137422.0,16732.1730329311,61816.21137801905,58873.62051496191,12.1757600914927,44.9827621327146,42.8414813603076,129227,52376,40.53,52336.73023368944,10153.8,19.400906313142087,3390.0,14229.0,2381.0,47836.0,970113.2406175998,230983.96259105054,281770.24182265624,44430.88054633602,0.8197599615094551,0.36755519217873955,5.198725745490511,1683903309843.85,3681006926650.74,38.0846809344133,641309202798.054,40.5302314758301,42.8414813603076,44.9827621327146,10.0,10542,8472.2,15899.3,5421.3,113000,71823.0,12.1757600914927,2.3623151779174805,16804928.0,0.1996967792510986,0.0528995431959629,0.3315314054489136,7496914.0,0.3678060173988342,0.5981279611587524
2004,China,CHN,FILE_SOURCES,161840.2,20600.384865373173,73204.90683978618,68034.90888118965,12.7288429360401,45.2328326582556,42.0383247680055,129988,54283,41.76,63684.98787612342,13158.3,20.661541187060926,5361.0,19298.0,2778.0,52480.0,1003190.9758052478,278686.45307869784,331366.71760764683,56256.25412994594,0.8410212561198593,0.7490382282938578,4.953875038230628,1984196551300.44,4053944733453.66,39.3505370582361,780791999227.721,41.7600135803223,42.0383247680055,45.2328326582556,10.1,12336,9421.6,17481.1,6412.2,122700,75006.0,12.7288429360401,2.3788018226623535,18906530.0,0.2271846532821655,0.0535965748131275,0.354523628950119,8225812.5,0.3845027387142181,0.5728844404220581
2005,China,CHN,FILE_SOURCES,187318.9,21509.4777894204,86881.54356771377,78927.8787385438,11.4828123533826,46.3816216984585,42.1355659992365,130756,56212,42.99,73560.74826412856,15909.2,21.6272949574631,17530.0,55484.0,3168.0,55487.0,1038614.1562891428,329032.96471240046,388359.12999139307,70477.76650604756,0.8472389067296875,0.6844208741994782,4.668606583668721,2317551298052.05,4518455387849.41,39.2703289759488,910110018931.413,42.9899978637695,42.1355659992365,46.3816216984585,11.4,14185,10493.0,20118.4,5883.8,127900,80178.0,11.4828123533826,2.3954036235809326,21265522.0,0.257956326007843,0.0544476956129074,0.3419039845466614,9019761.0,0.3989198505878448,0.5682186484336853
2006,China,CHN,FILE_SOURCES,219438.5,22988.075237576253,102887.03857672334,93563.42041590741,10.4758623658001,46.8865028592172,42.6376503739806,131448,58288,44.34,84531.16114119785,19382.9,22.92988732004224,20808.0,61819.0,3367.0,59613.0,1077454.87316336,362779.0557941033,453472.33463302127,87746.33351086613,0.8000026199783218,0.3992148058315983,4.134407003446797,2791498472804.33,5091154930758.42,38.5215726233992,1075329111482.4,44.3430099487305,42.6376503739806,46.8865028592172,12.7,16500,11759.5,23581.0,8077.6,146700,84804.0,10.4758623658001,2.404458522796631,23925228.0,0.2909573912620544,0.0549245327711105,0.3541971743106842,9982318.0,0.4097009301185608,0.5573593378067017
2007,China,CHN,FILE_SOURCES,270092.3,27261.548757158558,124742.76679433063,118087.93452797571,10.0934194559262,46.1852362301075,43.7213258311976,132129,60633,45.89,101746.43606459565,25280.6,24.84666881496481,29438.0,76193.0,3864.0,65742.0,1121647.7757000928,433404.70053051587,532545.1539659658,110394.54350554015,0.8138365306732547,0.6941338435832243,3.925961254677098,3604055822571.63,5811552614974.09,37.6709873123357,1357683411650.45,45.8892440795898,43.7213258311976,46.1852362301075,14.2,20169,13785.8,27938.9,13003.1,176800,98050.0,10.0934194559262,2.4135477542877197,26898422.0,0.32557213306427,0.0546208992600441,0.3873201310634613,10976751.0,0.4236558675765991,0.5530818700790405
2008,China,CHN,FILE_SOURCES,319515.5,31983.428296003472,147732.52576610819,139799.52105881934,10.0099770734138,46.2364191302482,43.7535960098397,132802,62403,46.99,123981.85962087175,30979.7,24.987284506567214,19726.0,51958.0,3800.0,59695.0,1158909.820186091,440385.73167071457,629899.7558885393,138062.40720037394,0.699136215808664,0.056306875550554136,3.1897584621392996,4667346414521.95,6373544042638.01,38.8030814219879,1811074229473.19,46.9895057678223,43.7535960098397,46.2364191302482,9.7,23708,15780.8,37482.6,10375.0,173000,100363.0,10.0099770734138,2.422671318054199,30215794.0,0.3654140830039978,0.0542731285095214,0.4208648204803467,11616248.0,0.420111209154129,0.5520761609077454
2009,China,CHN,FILE_SOURCES,349081.4,33068.46641858447,157710.99253474388,158301.96974345157,9.47299581661597,45.1788587231356,45.3481536809041,133450,64512,48.34,151535.4218637171,36232.4,23.910185192598394,43894.0,93713.0,4681.0,68200.0,1203931.623782369,563560.393092527,749940.1899578294,170152.9349843627,0.7514737850283996,0.8128440196153558,3.312081529150931,5189577094997.58,6972829250985.1,43.4097668520056,2252783317543.54,48.3417053222656,45.3481536809041,45.1788587231356,9.4,25727,17174.7,55416.9,15910.2,189000,96466.0,9.47299581661597,2.4318294525146484,34513832.0,0.4190276265144348,0.0546635389328002,0.4537184834480285,12577917.0,0.4133411943912506,0.552654504776001
2010,China,CHN,FILE_SOURCES,413030.3,37860.418572414856,188782.19264117465,186387.6547561342,9.16649906130733,45.7066207106778,45.126871988843,134091,66978,49.95,179751.53906228056,48267.0,26.85206494019302,52479.0,104349.0,5032.0,76349.0,1256201.9913067217,632120.8420255424,892194.7195222185,213315.34693483182,0.7085009899678079,0.38141786874637235,2.9633162878742914,6192564874453.29,7711689202853.29,43.5201821905755,2695015515631.65,49.2340270628041,45.126871988843,45.7066207106778,10.6,30808,19109.4,56831.5,27100.0,233200,117255.0,9.16649906130733,2.4410219192504883,39311248.0,0.4793540239334106,0.0553934127092361,0.4661777317523956,13947309.0,0.4220733940601349,0.5482550859451294
2011,China,CHN,FILE_SOURCES,489300.6,44202.6619927925,224100.6798763292,220997.21818789924,9.0338458593332,45.8002054108107,45.1659405665759,134916,69079,51.27,212921.06890324038,61740.4,28.99684860592976,58891.0,109946.0,5357.0,89580.0,1320657.9514805872,707476.4646081505,1060506.052449348,268656.28652678686,0.6671121423344646,0.35391341481970795,2.6333888320815837,7671757207851.29,8441318020902.42,43.515390928039,3338395140046.5,51.8300285339355,45.1659405665759,45.8002054108107,9.5,36302,21809.8,68843.0,32126.5,309600,142100.0,9.0338458593332,2.4754698276519775,44421292.0,0.5422490239143372,0.055837582796812,0.4688416123390198,14918415.0,0.4241573512554168,0.5499829053878784
2012,China,CHN,FILE_SOURCES,540367.4,48444.24398928121,241447.3389338641,250475.82148557514,8.96505673533992,44.6820698165478,46.3528742639869,135404,71182,52.57,237079.2133151029,71804.5,30.2871344121445,64456.0,111305.0,5791.0,99425.0,1393669.7924509754,807074.1768083598,1244559.9631419834,332401.0979309833,0.6484815522836213,0.4201030989074253,2.428012969367307,8673664713189.24,9104482675356.36,43.8737076505916,3805458298857.17,53.1003112792969,46.3528742639869,44.6820698165478,7.9,40007,24564.7,83082.9,27142.0,346300,145667.0,8.96505673533992,2.510403633117676,49921088.0,0.6101609468460083,0.0560450069606304,0.4527073502540588,15416000.0,0.4326445162296295,0.5603400468826294
2013,China,CHN,FILE_SOURCES,595244.4,52288.7759560434,258299.58576214168,284656.02524710906,8.78442131602471,43.3938707801605,47.8217057140074,136072,73111,53.73,262357.2022896316,86013.4,32.784844193087835,81428.0,130551.0,6237.0,101000.0,1466796.3966019559,914840.9125606399,1444689.1672745158,408442.4649930538,0.633244114570705,0.4107633974283277,2.239828105474288,9743124247267.24,9812695262900.89,44.0755431365052,4294334930447.57,54.4900016784668,47.8217057140074,43.3938707801605,7.8,43852,26955.1,96881.0,41250.5,346800,149700.0,8.78442131602471,2.545830488204956,55871108.0,0.6821633577346802,0.0560610331594944,0.4566207230091095,16562428.0,0.4247879981994629,0.5711438059806824
2014,China,CHN,FILE_SOURCES,643974.0,54624.639964480884,272289.69611136074,317059.7044863474,8.48242940933654,42.2827157791092,49.2348611102851,136782,74916,54.77,279358.15815965907,95035.6,34.01926781951546,76226.0,120649.0,6324.0,89070.0,1526530.4686699167,965377.8683868553,1651812.867070449,491224.79104326223,0.5844353725727954,0.18090381236452924,1.9652466365481835,10674533168257.4,10544908798424.0,43.3803473680085,4630649568303.33,55.7502555847168,49.2348611102851,42.2827157791092,7.4,47203,28843.9,105949.0,40048.5,316000,133000.0,8.48242940933654,2.57462215423584,62120152.0,0.7564389705657959,0.0557859018445014,0.4529332518577575,17711682.0,0.4248502850532532,0.578006386756897
2015,China,CHN,FILE_SOURCES,688858.2,56651.79201686186,275871.1091060246,356335.26750491606,8.22401359479525,40.0475902161032,51.72839163487,137462,77116,56.1,286679.8510523742,95979.1,33.479541602826274,87281.0,128495.0,6793.0,73842.0,1569841.8592965184,1066393.575020125,1855902.0747693006,572467.1473119643,0.5745958202846903,0.35236416602858767,1.8628030971338811,11280814787468.9,11280814787468.9,41.6166710438192,4694699581163.45,57.3297843933105,51.72839163487,40.0475902161032,7.0,50251,31194.8,117878.0,32547.4,278400,129000.0,8.22401359479525,2.5990278720855713,68791656.0,0.8342528939247131,0.0552929677069187,0.4310545921325683,18379366.0,0.4275853037834167,0.5831686854362488
2016,China,CHN,FILE_SOURCES,746395.1,58970.06577474567,289684.5673383777,397740.46638973313,7.90065017505416,38.811156093921,53.2881936644189,138271,79298,57.35,306623.43683894904,102581.0,33.455042138178,117631.0,157349.0,7476.0,75348.0,1613793.022110588,1206471.6633298756,2069730.4078697846,657874.1328926054,0.5829124695382935,0.4568407743186484,1.833894362170987,11456024084962.0,12045152668727.3,41.0805800894123,4706201149285.17,58.8399238586426,53.2881936644189,38.811156093921,6.8,54139,33616.2,130435.0,37456.6,239400,106128.0,7.90065017505416,2.6236650943756104,75896304.0,0.9155169725418092,0.0546073280274868,0.4298975467681885,19132416.0,0.4275972247123718,0.5862529277801514
2017,China,CHN,FILE_SOURCES,832035.9,60974.85560146773,325575.1846494684,445485.8609184939,7.32839239286042,39.129944350895,53.541663396795,139008,81347,58.52,344616.70437045686,109799.0,31.86119494717471,133701.0,169408.0,7892.0,81742.0,1663259.161668376,1312644.1303886825,2310860.591846752,747936.9089058272,0.5680325914163724,0.30808856829143544,1.755019861647124,12537559062282.9,12875216222853.4,41.4184897995936,5192867621329.67,60.2402687072754,53.541663396795,39.129944350895,6.9,59660,36396.2,143423.0,52059.0,246900,112400.0,7.32839239286042,2.648535966873169,83349168.0,1.0,0.0538306310772895,0.4249556362628937,19687162.0,0.4361169040203094,0.5862529277801514
2018,China,CHN,FILE_SOURCES,919281.1,63587.98726953567,358314.6309207733,497378.54710839124,6.91714289236836,38.9777001747097,54.1051640361573,139538,83137,59.58,389594.7868949922,120264.0,30.86899620975032,149973.0,171654.0,8736.0,93945.0,1723938.9784350086,1506033.0915608234,2584912.349149407,845762.8016386523,0.5826244329160328,0.4963848790519499,1.7806802198475833,14147765772963.8,13745158275136.7,42.3803760237203,5995876333537.23,61.5001983642578,54.1051640361573,38.9777001747097,6.7,65534,39250.8,152977.0,65096.0,221900,93000.0,6.91714289236836,2.67364239692688,91322456.0,1.089860916137695,0.0530670173466205,0.4489352703094482,19841296.0,0.4134757816791534,0.5862529277801514
2019,China,CHN,FILE_SOURCES,990865.1,69422.1467755672,374192.60821352666,547250.4342522866,7.00621575788341,37.7642333162735,55.2295599322538,140005,84843,60.6,418643.9633669839,132194.0,31.57671233016647,159738.0,171558.0,9310.0,95942.0,1785402.1988663084,1662209.447144533,2874310.6950589204,952583.9175894927,0.5782984595235136,0.37305292623270253,1.7449480475701742,14560167101283.4,14579283528148.4,42.2503490502374,6151721422590.08,62.7099151611328,55.2295599322538,37.7642333162735,6.0,70892,42359.0,166667.0,73238.0,227100,99688.0,7.00621575788341,2.6989870071411133,99608664.0,1.1822779178619385,0.0523187816143035,0.4541684985160827,20572606.0,0.4034570157527923,0.5862529277801514
2020,China,CHN,FILE_SOURCES,1013567.0,76424.79634205786,374123.41573801363,563018.7882588066,7.54018198521241,36.9115624066306,55.5482556415912,141212,90199,63.89,424171.82426235033,141443.0,33.34568491105564,173613.0,176086.0,9860.0,88132.0,1837826.1548889822,1812096.5887205363,3154766.9845683244,1065449.400061808,0.5743995032230536,0.35336420997944,1.7007814623720416,14996414166715.1,14920466234565.3,41.8494114609444,6275911069015.95,63.5234230266258,55.5482556415912,36.9115624066306,2.3,71828,43833.8,171834.0,84142.0,226600,91559.0,7.54018198521241,,,,,,,,
2021,China,CHN,FILE_SOURCES,1143669.7,81078.7766537387,435652.0625788902,626938.9098590503,7.08935251618004,38.0924722040717,54.8181795722183,141260,91425,64.72,472931.67108566605,147602.0,31.210005382207452,181930.0,179433.0,10139.0,76923.0,1877992.6317912026,1904096.7293731002,3469960.306425574,1181087.918059954,0.5487373229737378,0.19453157036695717,1.612154946518084,18201698719564.0,16199162892908.6,41.3521203793076,7526788365592.98,64.721076965332,54.8181795722183,38.0924722040717,8.4,80976,47411.9,183238.0,87051.0,198895,85509.0,7.08935251618004,,,,,,,,
2022,China,CHN,FILE_SOURCES,1210207.2,86504.24225416612,458602.2900695235,665100.595275477,7.14788692830171,37.8945266620066,54.9575804271762,141175,92071,65.22,499003.9085379974,132895.0,26.63205592704902,133308.0,135837.0,9812.0,65492.0,1905924.7791553785,1870093.3933072574,3795466.199642292,1278550.2805181553,0.49271770447685886,-0.06814242430578785,1.4626670705115865,18316765021690.2,16706875253648.5,41.2329317275585,7552539216090.82,65.2176361083984,54.9575804271762,37.8945266620066,3.0,85698,49283.0,193960.0,66854.0,120600,69904.0,7.14788692830171,,,,,,,,
2023,China,CHN,FILE_SOURCES,1260582.0,86848.04157905941,463547.5540492769,710186.4043716633,6.88951941080068,36.7725030223561,56.3379775668432,140967,93267,66.16,509961.32230550965,110912.0,21.749100402079986,106141.0,111735.0,9588.0,65319.0,1933125.2835722708,1853480.5218890933,4115654.211965687,1351105.7721026107,0.45034894245983026,-0.03257672825668063,1.3718248860743743,18270356654533.2,17611526369126.6,40.4544347218594,7391169506259.04,65.5301448035523,56.3379775668432,36.7725030223561,5.2,89358,51821.0,198936.0,57996.0,95000,68251.0,6.88951941080068,,,,,,,,
2024,China,CHN,FILE_SOURCES,1345000.0,,,,,,,140800,94200,67.0,,100280.0,,89932.0,97786.0,9200.0,58000.0,1952462.7779008253,1796265.755668759,,1410852.5989395324,,,1.2731774793617154,,,,,,,,5.0,95000,54900.0,209424.0,48000.0,74492,62000.0,,,,,,,,,
