figure,panel,urban_pct_bin,MUQ_median,MUQ_q25,MUQ_q75,n_obs,component,rho,msa_name,year,region,invest_intensity,dV_GDP,country,beta,ci_lower,ci_upper,metric,note
fig1,b_high_income,61.66814978860749,11.472759323065983,6.851951598916007,14.837148840708974,90.0,,,,,,,,,,,,,
fig1,b_high_income,67.5653575134371,12.674410672643912,7.992401212412725,17.34427390725338,140.0,,,,,,,,,,,,,
fig1,b_high_income,73.46256523826673,12.269857603397512,7.869701836301908,15.109500763094374,140.0,,,,,,,,,,,,,
fig1,b_high_income,79.35977296309633,12.984619939352864,8.45741216722605,17.026458931762605,222.0,,,,,,,,,,,,,
fig1,b_high_income,85.25698068792596,10.954688565340838,6.8626284135649325,14.979593447585856,209.0,,,,,,,,,,,,,
fig1,b_high_income,91.15418841275559,11.024485994790101,7.127870070034519,15.634723414200407,108.0,,,,,,,,,,,,,
fig1,b_high_income,97.05139613758519,10.358121383869124,5.661330802743596,14.142745145018912,97.0,,,,,,,,,,,,,
fig1,c_decomposition,,,,,,within,-0.076,,,,,,,,,,,
fig1,c_decomposition,,,,,,between,0.114,,,,,,,,,,,
fig1,c_decomposition,,,,,,pooled,0.038,,,,,,,,,,,
fig3,a_us_scatter,,,,,,,,"Aberdeen, SD Micro Area",2011.0,Midwest,0.0056953447893683,-0.0783350207171893,,,,,,
fig3,a_us_scatter,,,,,,,,"Aberdeen, SD Micro Area",2012.0,Midwest,0.0046399965241394,0.0725633857203333,,,,,,
fig3,a_us_scatter,,,,,,,,"Aberdeen, SD Micro Area",2013.0,Midwest,0.0087704751865066,-0.1095567690065468,,,,,,
fig3,a_us_scatter,,,,,,,,"Aberdeen, SD Micro Area",2014.0,Midwest,0.0118728492976458,0.0705912191080926,,,,,,
fig3,a_us_scatter,,,,,,,,"Aberdeen, SD Micro Area",2015.0,Midwest,0.0076136431787208,0.0513978664645269,,,,,,
fig3,a_us_scatter,,,,,,,,"Aberdeen, SD Micro Area",2016.0,Midwest,0.0146621593167,0.093197767050432,,,,,,
fig3,a_us_scatter,,,,,,,,"Aberdeen, SD Micro Area",2017.0,Midwest,0.0243001690132895,0.1039408349387394,,,,,,
fig3,a_us_scatter,,,,,,,,"Aberdeen, SD Micro Area",2018.0,Midwest,0.0127427359435995,-0.101809405917705,,,,,,
fig3,a_us_scatter,,,,,,,,"Aberdeen, SD Micro Area",2019.0,Midwest,0.0052079413026971,0.1385060680659862,,,,,,
fig3,a_us_scatter,,,,,,,,"Aberdeen, SD Micro Area",2020.0,Midwest,0.0049882684550928,-0.101052812869677,,,,,,
fig3,a_us_scatter,,,,,,,,"Aberdeen, SD Micro Area",2021.0,Midwest,-0.0181671978609246,-0.1818845358347121,,,,,,
fig3,a_us_scatter,,,,,,,,"Aberdeen, SD Micro Area",2022.0,Midwest,0.0043504242579179,0.0640479287131254,,,,,,
