income_group,year,CPR_median,CPR_ci_lo,CPR_ci_hi,n_countries
Lower middle income,2018,3.350424450348981,2.6840829926827396,4.0167659080152225,32
Lower middle income,2019,3.469331319518442,2.7193849450211154,4.219277694015768,32
Upper middle income,1960,5.007049909898432,3.021538484445773,6.99256133535109,10
Upper middle income,1961,4.588037133907607,2.4795910444200966,6.696483223395116,12
Upper middle income,1962,4.693455303519411,3.0379755604012932,6.3489350466375285,13
Upper middle income,1963,4.553907711263345,3.163425517000498,5.944389905526192,13
Upper middle income,1964,4.748084665929143,3.6499064542167154,5.846262877641571,13
Upper middle income,1965,4.532618274941614,3.6179929222465725,5.447243627636655,15
Upper middle income,1966,4.335260992719232,3.4991335173520777,5.171388468086386,15
Upper middle income,1967,4.194777357824393,3.4058686295025065,4.98368608614628,15
Upper middle income,1968,3.9051324592399026,3.1773993967398013,4.632865521740004,16
Upper middle income,1969,3.970805036308217,3.1346781195705535,4.80693195304588,17
Upper middle income,1970,4.184664939969048,3.0279672599686833,5.341362619969413,20
Upper middle income,1971,4.169976433257003,2.7841655316380995,5.555787334875906,22
Upper middle income,1972,4.402243378605443,3.3398082724991953,5.464678484711691,22
Upper middle income,1973,4.695676962414071,3.7074793372230332,5.683874587605108,22
Upper middle income,1974,5.40802096596505,4.171208740550869,6.644833191379231,22
Upper middle income,1975,5.47166745938388,4.491301806900916,6.452033111866845,22
Upper middle income,1976,4.689390362276935,3.848062895657681,5.530717828896189,24
Upper middle income,1977,4.473994493768407,3.645102849611724,5.30288613792509,24
Upper middle income,1978,4.4481096511298714,3.7101438545626286,5.186075447697115,24
Upper middle income,1979,4.568118308494645,3.8363319789674875,5.299904638021803,24
Upper middle income,1980,4.434359706468989,3.6609312079083844,5.207788205029593,28
Upper middle income,1981,4.245430831934198,3.488934412910324,5.0019272509580714,29
Upper middle income,1982,3.89671493260805,3.2484125557725134,4.545017309443587,29
Upper middle income,1983,3.38297680599364,2.8371549444566098,3.9287986675306703,29
Upper middle income,1984,3.365106421451788,2.8309943531593857,3.8992184897441904,29
