mun_code,mun_name,uf,regiao,population,gdp_pc_brl,ln_pop,ln_gdp_pc,residual
4310009,Ibirubá - RS,RS,Sul,22106,77265.99113362888,10.0036043438709,11.25500917830349,0.9383608426782164
4310108,Igrejinha - RS,RS,Sul,34776,76378.16310098919,10.456682772668628,11.24345211101387,0.9127712962661843
4310207,Ijuí - RS,RS,Sul,87848,69497.81440670248,11.383363327277548,11.149050583672828,0.7896691627846089
4310306,Ilópolis - RS,RS,Sul,4245,38845.700824499414,8.353497098745448,10.56735268878438,0.30181050607926885
4310330,Imbé - RS,RS,Sul,28027,27218.967424269453,10.24092361024682,10.21166934103587,-0.11232910759214221
4310363,Imigrante - RS,RS,Sul,3149,187512.22610352494,8.054840221101024,12.141599328152257,1.8853069709385757
4310405,Independência - RS,RS,Sul,6557,67653.8050937929,8.788288460263619,11.122158878784223,0.8431505932692769
4310413,Inhacorá - RS,RS,Sul,2047,37320.9574987787,7.624130585661289,10.527310311083893,0.2843576398560739
4310439,Ipê - RS,RS,Sul,5490,71570.4918032787,8.610683534503575,11.178438142349089,0.9049305323339194
4310462,Ipiranga do Sul - RS,RS,Sul,1748,70009.1533180778,7.466227556215481,11.156381274169759,0.918319082874838
4310504,Iraí - RS,RS,Sul,7619,33571.99107494422,8.93840040647301,10.421447399354482,0.1377899347629743
4310538,Itaara - RS,RS,Sul,5712,53250.52521008404,8.65032450401942,10.8827629466232,0.6080275997709474
4310553,Itacurubi - RS,RS,Sul,3038,37637.261356155366,8.018954683155718,10.53574983218285,0.2805689007842318
4310579,Itapuca - RS,RS,Sul,1963,47825.267447784005,7.5822291942764615,10.775309386509942,0.5336544605783811
4310603,Itaqui - RS,RS,Sul,36811,56204.36825948765,10.513551992534897,10.93674975989834,0.6043076250573574
4310652,Itati - RS,RS,Sul,2696,38383.90207715134,7.899524472032198,10.555393433939065,0.3039114249292769
4310702,Itatiba do Sul - RS,RS,Sul,3240,26269.444444444445,8.083328608786376,10.176161734547494,-0.0810129482858084
4310751,Ivorá - RS,RS,Sul,1962,27498.470948012233,7.581719640125308,10.221885680218357,-0.01975346410116252
4310801,Ivoti - RS,RS,Sul,23566,65300.77229907494,10.067560274273285,11.086759142132944,0.7681300009758179
4310850,Jaboticaba - RS,RS,Sul,3847,27752.274499610085,8.255048902752295,10.231073079765633,-0.03142002320602266
4310876,Jacuizinho - RS,RS,Sul,2066,60574.05614714424,7.633369649679584,11.011621964005665,0.7683831459107537
4310900,Jacutinga - RS,RS,Sul,3398,55529.429075927015,8.130942302231878,10.92466841282006,0.6660190666244166
4311007,Jaguarão - RS,RS,Sul,27396,37772.010512483575,10.218152296317795,10.539323644697111,0.21603045583647962
4311106,Jaguari - RS,RS,Sul,10771,30539.132856744964,9.28461261635077,10.326764184680744,0.03238403876466833
4311122,Jaquirana - RS,RS,Sul,3751,27142.095441215675,8.229777750081887,10.20884113900149,-0.0528692806647868
4311130,Jari - RS,RS,Sul,3412,62026.67057444314,8.13505390861157,11.035319742085935,0.7765430536311708
