city,city_tier,Q_w1,OCR_w1,region4,province,city_tier_en
赤峰市,三线及以下,1.0280486273266838,1.2027270351022536,西部,内蒙古自治区,Tier 3+
南阳市,三线及以下,1.0262137011599286,1.6730923975428855,中部,河南省,Tier 3+
信阳市,三线及以下,1.019304899785913,1.782889529330463,中部,河南省,Tier 3+
锦州市,三线及以下,1.0179404416622848,1.3607132144451777,东北,辽宁省,Tier 3+
南通市,三线及以下,1.0090244769286287,0.5632195544792453,东部,江苏省,Tier 3+
益阳市,三线及以下,0.9994337878478794,1.3285955729803285,中部,湖南省,Tier 3+
滁州市,三线及以下,0.1756738133616434,1.6686443616745523,中部,安徽省,Tier 3+
清远市,三线及以下,0.985443870413375,1.255643574852214,东部,广东省,Tier 3+
晋中市,三线及以下,0.980648766086078,1.9113746481717595,中部,山西省,Tier 3+
淮南市,三线及以下,0.9741169289073444,2.0064932525715653,中部,安徽省,Tier 3+
永州市,三线及以下,1.034101870581459,1.5996038275657891,中部,湖南省,Tier 3+
承德市,三线及以下,0.9739640825102648,1.6474434449054196,东部,河北省,Tier 3+
蚌埠市,三线及以下,0.9652578447224898,1.3692919333023026,中部,安徽省,Tier 3+
巴中市,三线及以下,0.9640183301901722,4.719083883438124,西部,四川省,Tier 3+
泰安市,三线及以下,0.9614886398529052,0.9454107738415134,东部,山东省,Tier 3+
宿迁市,三线及以下,0.9595137136999548,1.0332648258125356,东部,江苏省,Tier 3+
衡阳市,三线及以下,0.9564038789342,0.9883439769408744,中部,湖南省,Tier 3+
乐山市,三线及以下,0.9528966618351424,1.0439411115662427,西部,四川省,Tier 3+
扬州市,三线及以下,0.9524107959496358,0.5417757048955321,东部,江苏省,Tier 3+
长治市,三线及以下,0.9433030821040764,1.7728295106995744,中部,山西省,Tier 3+
忻州市,三线及以下,0.9373743488471824,3.3197605668686654,中部,山西省,Tier 3+
盐城市,三线及以下,0.9367057752069016,0.8305881369847496,东部,江苏省,Tier 3+
运城市,三线及以下,0.9699425315335376,2.3955760553160994,中部,山西省,Tier 3+
阳江市,三线及以下,1.03587329289632,0.7079444092300562,东部,广东省,Tier 3+
临沂市,三线及以下,1.0380776902214652,1.1510011931929758,东部,山东省,Tier 3+
佳木斯市,三线及以下,1.0428422165772278,1.084179843931801,东北,黑龙江省,Tier 3+
平凉市,三线及以下,1.192827938162053,5.088496871733855,西部,甘肃省,Tier 3+
湖州市,三线及以下,1.189979064259087,0.6716459584346604,东部,浙江省,Tier 3+
安庆市,三线及以下,1.1522206491721445,1.7021625126883535,中部,安徽省,Tier 3+
邯郸市,三线及以下,1.1517972711707245,1.7021391413029523,东部,河北省,Tier 3+
常德市,三线及以下,1.1495125363805188,0.7241753413999916,中部,湖南省,Tier 3+
肇庆市,三线及以下,1.1475824832665589,0.8273947702000186,东部,广东省,Tier 3+
濮阳市,三线及以下,1.1344363353142175,1.3257995129058004,中部,河南省,Tier 3+
鸡西市,三线及以下,1.1330226797646383,1.2505728903863478,东北,黑龙江省,Tier 3+
安康市,三线及以下,1.1322372746952607,1.451079471299261,西部,陕西省,Tier 3+
资阳市,三线及以下,1.1103710378878628,1.2434685390916536,西部,四川省,Tier 3+
遵义市,三线及以下,1.0982683512782894,1.1013518454641853,西部,贵州省,Tier 3+
聊城市,三线及以下,1.0863220331965202,0.9619776542431672,东部,山东省,Tier 3+
临汾市,三线及以下,1.0851266825733947,2.159117749908535,中部,山西省,Tier 3+
吉安市,三线及以下,1.0790203666414444,1.9437545555806297,中部,江西省,Tier 3+
韶关市,三线及以下,1.0741207118443736,1.0789147133214538,东部,广东省,Tier 3+
平顶山市,三线及以下,1.073726117356088,1.3914197717397851,中部,河南省,Tier 3+
汉中市,三线及以下,1.0723361557134834,1.2000897807208153,西部,陕西省,Tier 3+
济宁市,三线及以下,1.0710199194109369,0.8595729036714617,东部,山东省,Tier 3+
桂林市,三线及以下,1.069131356607254,1.332573367762645,西部,广西壮族自治区,Tier 3+
十堰市,三线及以下,1.0680244730660158,1.1520611100686504,中部,湖北省,Tier 3+
荆州市,三线及以下,1.0590747636446305,1.770446643168491,中部,湖北省,Tier 3+
曲靖市,三线及以下,1.0561284596900802,1.5398850439324772,西部,云南省,Tier 3+
沧州市,三线及以下,1.0483476713149955,1.1323293609118603,东部,河北省,Tier 3+
泸州市,三线及以下,1.2061863176246677,1.3649324723309404,西部,四川省,Tier 3+
铜陵市,三线及以下,0.144929621602672,1.591886149866336,中部,安徽省,Tier 3+
