geo,country_code,country,population,gdp_value,gdp_per_capita,ln_pop,ln_gdp_pc
DE71B,DE,Germany,94619.0,3041.15,32141.00762003403,11.45761358053914,10.37788798976566
DE71C,DE,Germany,353948.0,17187.67,48559.87320171324,12.776905288670761,10.790552814562616
DE71D,DE,Germany,185684.0,5485.52,29542.233041080544,12.131801583154887,10.29357614703604
DE71E,DE,Germany,309348.0,11307.48,36552.6203498972,12.642222135769334,10.506508154807811
DE721,DE,Germany,266314.0,12187.48,45763.572324399014,12.492431342707043,10.731243689536345
DE722,DE,Germany,253208.0,10951.01,43249.067959938075,12.441966564329647,10.674730962068585
DE723,DE,Germany,173484.0,6451.03,37185.1582854903,12.063840655096442,10.523664989831051
DE724,DE,Germany,242197.0,11921.55,49222.53372254817,12.397506723566943,10.804106800120088
DE725,DE,Germany,101545.0,3599.94,35451.671672657445,11.52825732896721,10.475925686635708
DE731,DE,Germany,196575.0,13264.77,67479.43533002671,12.188799316859717,11.119578168664411
DE732,DE,Germany,221445.0,10561.04,47691.48095463885,12.307929530636297,10.772508064587399
DE733,DE,Germany,118183.0,5223.97,44202.38105311255,11.679989549583395,10.696533936594776
DE734,DE,Germany,230318.0,9053.6,39309.1291171337,12.347216241677671,10.579212063938336
DE735,DE,Germany,179406.0,7108.57,39622.81083129884,12.09740667286362,10.58716026249375
DE736,DE,Germany,155068.0,7379.97,47591.83068073361,11.951619009373848,10.77041640113603
DE737,DE,Germany,98044.0,3545.2,36159.27542735914,11.493171636483368,10.49568877634515
DE803,DE,Germany,203909.0,10339.23,50705.11845970507,12.2254290948724,10.833782140296302
DE804,DE,Germany,97614.0,4938.45,50591.61595672752,11.488776204737226,10.831541148992237
DE80J,DE,Germany,247735.0,9368.03,37814.72137566351,12.420114905455181,10.540453760172637
DE80K,DE,Germany,218132.0,7298.85,33460.70269378175,12.292855663114446,10.418126975329912
DE80L,DE,Germany,215983.0,7440.3,34448.544561377515,12.2829549798653,10.447222027693824
DE80M,DE,Germany,157108.0,5019.35,31948.404918909284,11.964688745926177,10.371877534268632
DE80N,DE,Germany,226324.0,7890.7,34864.618864990014,12.329722879909049,10.459227807858374
DE80O,DE,Germany,209244.0,6738.74,32205.17673147139,12.251256314105493,10.379882486668818
DE911,DE,Germany,253194.0,21673.09,85598.75036533251,12.441911272288923,11.357425963487438
DE912,DE,Germany,104564.0,5870.13,56139.11097509659,11.557554603113433,10.93558801393542
DE913,DE,Germany,127990.0,23817.16,186086.10047659973,11.759707414849837,12.133964751375677
DE914,DE,Germany,175361.0,4915.46,28030.519898951305,12.074601985280273,10.241049191933712
DE916,DE,Germany,127856.0,4681.39,36614.550744587665,11.758659909614243,10.508201001710423
DE917,DE,Germany,90985.0,2516.3,27656.20706709897,11.418449936747344,10.227605468813053
DE918,DE,Germany,126598.0,4446.88,35125.989352122466,11.748771990779117,10.466696572847844
DE91A,DE,Germany,136719.0,3637.49,26605.59249263087,11.825683003543881,10.188876716755468
DE91B,DE,Germany,118296.0,3112.53,26311.371474944208,11.680945237053324,10.17775650019168
DE91C,DE,Germany,328039.0,14242.43,43416.88030996315,12.70088778273697,10.678603591702302
DE922,DE,Germany,219641.0,8641.73,39344.79446005072,12.299749674287197,10.580118956913012
DE923,DE,Germany,150717.0,5905.38,39181.910467963135,11.923159185153494,10.575970451615586
DE925,DE,Germany,268062.0,9792.16,36529.45960262924,12.498973576020845,10.505874326431323
DE926,DE,Germany,66288.0,2800.73,42250.93531257543,11.101764164317183,10.651381770116037
DE927,DE,Germany,121295.0,4668.47,38488.56094645286,11.705980873967153,10.558116357853544
DE928,DE,Germany,156747.0,4965.16,31676.268126343726,11.962388319556037,10.36332303994733
DE929,DE,Germany,1134284.0,65696.85,57919.224814949346,13.94151217283185,10.966804643250239
DE931,DE,Germany,172477.0,6911.61,40072.64736747508,12.058019173230539,10.598449270014644
DE932,DE,Germany,198898.0,6362.35,31988.00390149725,12.200547409487335,10.3731162334193
DE933,DE,Germany,262954.0,7997.66,30414.67328886421,12.479734390919283,10.322680444920495
DE934,DE,Germany,46791.0,1605.42,34310.444316214656,10.753446155719935,10.44320508581862
DE935,DE,Germany,178099.0,6814.07,38260.01268957153,12.090094854438856,10.552160574660983
DE936,DE,Germany,113800.0,3116.58,27386.46748681898,11.642197800674367,10.217804283031263
DE937,DE,Germany,164657.0,7081.31,43006.431551649795,12.011619801325335,10.669104954459677
DE938,DE,Germany,143728.0,6056.57,42139.10998552822,11.875677903468988,10.648731566715782
DE939,DE,Germany,206375.0,7997.88,38754.11265899455,12.23745018122243,10.564992162285114
DE93A,DE,Germany,91059.0,3452.14,37911.02472023633,11.419262927058211,10.542997238486306
DE93B,DE,Germany,137793.0,5339.04,38746.81587598789,11.833507838013075,10.564803860463028
DE941,DE,Germany,81148.0,2322.41,28619.43609207867,11.30402992692122,10.261841349634661
DE942,DE,Germany,49563.0,4105.63,82836.59181244073,10.810999866598701,11.324625172852945
