city,region4,city_tier,pop_10k,gdp_100m,OCR_w1,Q_w1,K_100m,V_100m,ln_Pop,ln_OCR,ln_Q,ln_GDP,ln_K,ln_V
丽江市,西部,三线及以下,123.88809716599192,299.45079999999996,2.783778706807089,1.2494046047798764,1861.6273264528709,2317.645756368583,4.819378715949174,1.0238092518154212,0.22266712166352642,5.701950130271437,7.529206290894566,7.748307189256705
汕尾市,东部,三线及以下,271.1192145862553,828.4882,1.6425094548948391,1.23466270412664,3585.590642321153,4426.995038339411,5.60255863037167,0.4962252277648332,0.2107978187100036,6.7196025941580695,8.184678493248844,8.395476311958848
衢州市,东部,三线及以下,227.7249805447471,1198.86025,0.9650039602103146,1.2315844643982323,5309.85369349083,6528.97849257712,5.428138675197769,-0.03562307380668623,0.20830152282677208,7.089126592771513,8.577319560841483,8.78400577704384
江门市,东部,三线及以下,469.4854296388542,2329.40245,0.7148157455198549,1.2269606480513515,7429.232690396194,9100.191730705854,6.151637264383702,-0.33573046807174184,0.20454009353667701,7.753367054440987,8.913177860561433,9.116050761591323
成都市,西部,新一线,1800.9390543193715,11485.6984,0.5999123153042376,1.2118816594134674,45862.29179791673,55709.77924588221,7.496063504691864,-0.5109717756052544,0.19217424213199036,9.34885792302621,10.733398528951227,10.927910980448802
商丘市,中部,三线及以下,751.4062369856223,1900.65805,1.632764837860285,1.2085249680974472,9037.955209339085,10846.943338627269,6.621946433592008,0.4902747974091824,0.18940058135132645,7.549955447297212,9.109188234143398,9.2916385993359
昆明市,西部,新一线,808.7165552699229,4134.04155,0.8821386809205732,1.2080728295058831,20569.064594035102,24783.53424512576,6.695448491352512,-0.12540600073158595,0.18902638702135702,8.327010790989464,9.931543507331787,10.117934769917357
泸州市,西部,三线及以下,425.0272440944882,1417.6619,1.3649324723309404,1.2061863176246677,6265.460308312602,7499.821396656378,6.052153270621596,0.3111049565933778,0.1874635785983913,7.2567642442474,8.742807337625988,8.9226344854617
南宁市,西部,二线,824.8270688566015,3556.70795,1.0203968219695492,1.1979119932853337,17760.719499854695,21233.88114702464,6.715173750855549,0.02019159278591146,0.18058003563034333,8.17659066287054,9.784744528104763,9.963353352262226
抚州市,中部,三线及以下,335.3025,1158.02235,1.8720056961801856,1.1961680606435696,5791.289502379029,6896.146082331852,5.815033109453931,0.6270104208820666,0.17912316458933006,7.054468958464823,8.66411025775297,8.838717995751969
平凉市,西部,三线及以下,184.78969957081543,367.3,5.088496871733855,1.192827938162053,3546.050364241869,4229.827944597426,5.2192184194009865,1.6269824768778915,0.1763269065298182,5.906178952825622,8.173589689647184,8.349916596177003
湖州市,东部,三线及以下,331.79752327746735,2184.32045,0.6716459584346604,1.189979064259087,8512.479876428672,10095.518003736312,5.804524913224167,-0.3980239248594016,0.17393571390908763,7.689060052292037,9.049288586452468,9.219846842331547
合肥市,中部,新一线,867.8910044785669,5967.323850000001,0.8488965590643296,1.1677112791016593,31631.00888478315,37599.087161976306,6.76606613589844,-0.16381793865162544,0.15504566129897193,8.694053839553602,10.361893212243215,10.534735051476266
武汉市,中部,新一线,1114.5716902173913,11409.105,0.4740522695708744,1.1663981524837816,41699.948016625945,48993.69864197739,7.016225475761548,-0.7464376900104451,0.1539204983236271,9.342166999814603,10.638255161182421,10.799446969679867
绍兴市,东部,二线,524.9275865921788,4627.49785,0.4902872089034961,1.155582435621037,15240.958749499669,17542.97363687446,6.263260322777754,-0.7127639189714023,0.144604490135689,8.439771579833822,9.631741737334039,9.772408786156264
安庆市,中部,三线及以下,454.9845497630331,1474.3038,1.7021625126883535,1.1522206491721445,7962.587398449347,9077.490684912227,6.1202634618096505,0.5318995089585961,0.14169107967278036,7.295941157346856,8.982509276077556,9.113553077114704
邯郸市,东部,三线及以下,933.3283223374176,3241.2610999999997,1.7021391413029523,1.1517972711707245,19067.822446039085,21899.613651245618,6.838757038556578,0.5318857784565566,0.14132356690089853,8.083717761451716,9.855757504661847,9.994224274153344
常德市,中部,三线及以下,538.6747826086956,2831.4185500000003,0.7241753413999916,1.1495125363805188,8331.43678553534,9508.40947308522,6.289112017023493,-0.32272173166416096,0.13933797110379492,7.948533119468214,9.027791203544906,9.159931893716545
肇庆市,东部,三线及以下,398.5693421052632,2027.0145,0.8273947702000186,1.1475824832665589,7052.788589968107,8058.50992846421,5.98788149088505,-0.18947334573861807,0.1376575412115763,7.614319299855127,8.861178362275469,8.994483946010684
濮阳市,中部,三线及以下,373.9675143843498,1388.94825,1.3257995129058004,1.1344363353142175,6674.7665266705735,7518.171221986559,5.9241689337070955,0.2820156834286471,0.12613590670784883,7.236302085040846,8.806089505378914,8.925078198803135
鸡西市,东北,三线及以下,161.80329341317366,516.53305,1.2505728903863478,1.1330226797646383,1683.7623891402832,1904.8124275688624,5.086381359257615,0.22360175863028015,0.1248889992900404,6.247139274895874,7.428786085761517,7.552138819494536
安康市,西部,三线及以下,250.15049504950497,807.6603,1.451079471299261,1.1322372746952607,3392.2650220288992,3814.430691009901,5.5220627169428695,0.37230774242239406,0.12419556443784759,6.694141549327417,8.129253125354056,8.24654670348971
哈尔滨市,东北,二线,1016.5223706441396,5926.41075,0.9009094318299372,1.1221446879107195,28087.763476697823,31224.343999084776,6.9241426403462984,-0.1043505460378463,0.11524175414362478,8.687174038927546,10.243089297017377,10.348953325936733
资阳市,西部,三线及以下,292.12824742268043,1106.9111,1.2434685390916536,1.1103710378878628,4417.548247444326,4832.420691473815,5.677192909348985,0.21790468365308896,0.10469422783646277,7.009328622347441,8.393340126023134,8.483102799457658
遵义市,西部,三线及以下,643.3519417475728,2403.94,1.1013518454641853,1.0982683512782894,9971.574894707375,10951.465119258251,6.466691917808729,0.09653837568487439,0.09373471329780848,7.78486433694097,9.207493813841806,9.301228527139614
聊城市,东部,三线及以下,576.7594594594595,2761.3999999999996,0.9619776542431672,1.0863220331965202,10739.141363650626,11618.639261145949,6.357425298236154,-0.038764057023671056,0.08279770904347983,7.9234930764820515,9.281650417348319,9.360365920377186
临汾市,中部,三线及以下,399.1188720930232,1183.14255,2.159117749908535,1.0851266825733947,6761.552293645388,7283.828104626697,5.989259297564181,0.7696996891415934,0.08169673830888373,7.075929355451035,8.819007771913736,8.893411841533712
吉安市,中部,三线及以下,441.75873840445274,1394.94595,1.9437545555806297,1.0790203666414444,7549.499345753783,8102.129218304416,6.090763892338516,0.6646214406497372,0.07605356157649044,7.240610947985126,8.929236528223653,8.999882172574532
韶关市,东部,三线及以下,281.8457863501484,1184.1863,1.0789147133214538,1.0741207118443736,4519.658188539765,4850.7342272282485,5.641360064442968,0.07595564081783926,0.07150238441181232,7.07681115103903,8.416191647962313,8.486885359531035
