country_code,country_name,income_group,year,MUQ_raw,MUQ_ma5,urban_pct
IDN,Indonesia,UMI,1970,12.926021853735993,9.794562930037321,16.8001345105888
IDN,Indonesia,UMI,1971,-3.2704373082312848,9.794562930037321,17.1011495609793
IDN,Indonesia,UMI,1972,19.728104244607255,9.794562930037321,17.453166786076
IDN,Indonesia,UMI,1973,,,17.8781647506989
IDN,Indonesia,UMI,1974,,,18.3683266057108
IDN,Indonesia,UMI,1975,,,18.914196501399
IDN,Indonesia,UMI,1976,,,19.5063185880508
IDN,Indonesia,UMI,1977,,,20.1352370159536
IDN,Indonesia,UMI,1978,,,20.7914959353946
IDN,Indonesia,UMI,1979,11.402806152021617,,21.4656394966611
IDN,Indonesia,UMI,1980,,,22.1466142996691
IDN,Indonesia,UMI,1981,,,22.8406637690508
IDN,Indonesia,UMI,1982,,,23.5724196827312
IDN,Indonesia,UMI,1983,,,24.3433192272382
IDN,Indonesia,UMI,1984,,,25.150523426766
IDN,Indonesia,UMI,1985,,,25.9911933055087
IDN,Indonesia,UMI,1986,,,26.8624898876605
IDN,Indonesia,UMI,1987,15.571367232369187,,27.7615741974155
IDN,Indonesia,UMI,1988,,,28.6856072589677
IDN,Indonesia,UMI,1989,,,29.6317500965114
IDN,Indonesia,UMI,1990,,,30.5945178088725
IDN,Indonesia,UMI,1991,,,31.5991952251753
IDN,Indonesia,UMI,1992,,,32.6914992355049
IDN,Indonesia,UMI,1993,,,33.8555422228307
IDN,Indonesia,UMI,1994,,,35.0672005338812
IDN,Indonesia,UMI,1995,,,36.3023505153847
IDN,Indonesia,UMI,1996,,,37.5368685140699
IDN,Indonesia,UMI,1997,0.4313200057344775,,38.746630876665
IDN,Indonesia,UMI,1998,,,39.9075139498987
IDN,Indonesia,UMI,1999,,,40.9953940804992
IDN,Indonesia,UMI,2000,,,41.9861540600656
IDN,Indonesia,UMI,2001,,,42.9018895186157
IDN,Indonesia,UMI,2002,,,43.7824069030376
IDN,Indonesia,UMI,2003,,,44.6301761521872
IDN,Indonesia,UMI,2004,,,45.4476736441888
IDN,Indonesia,UMI,2005,,,46.2373757571669
IDN,Indonesia,UMI,2006,,,47.0017588692457
IDN,Indonesia,UMI,2007,,,47.7432993585496
IDN,Indonesia,UMI,2008,,,48.4644736032029
IDN,Indonesia,UMI,2009,,,49.16775798133
IDN,Indonesia,UMI,2010,,,49.8521375148888
IDN,Indonesia,UMI,2011,,,50.4830017089844
IDN,Indonesia,UMI,2012,,,51.1593933105469
IDN,Indonesia,UMI,2013,,,51.8307495117188
