panel,urban_pct_bin,MUQ_median,MUQ_q25,MUQ_q75,n_obs,city,year,tier,fai_gdp,MUQ,msa_name,region,hu_growth,category,beta,ci_lower,ci_upper
c_china_city,,,,,,厦门市,2012.0,二线,0.4696314755719392,0.6505205444968427,,,,,,,
c_china_city,,,,,,厦门市,2013.0,二线,0.4430708613022552,6.631587413005213,,,,,,,
c_china_city,,,,,,厦门市,2014.0,二线,0.4772020345205239,2.7385708586919115,,,,,,,
c_china_city,,,,,,厦门市,2015.0,二线,0.5446154400101927,2.1955176683177156,,,,,,,
c_china_city,,,,,,厦门市,2016.0,二线,0.5707340831361176,10.696554803766736,,,,,,,
c_china_city,,,,,,台州市,2016.0,二线,0.5829264541549847,3.028229063680622,,,,,,,
c_china_city,,,,,,合肥市,2012.0,新一线,0.9552732966088264,0.2664613823365354,,,,,,,
c_china_city,,,,,,合肥市,2013.0,新一线,1.0026816480522844,0.6035593401985185,,,,,,,
c_china_city,,,,,,合肥市,2014.0,新一线,1.023564479515728,0.3757036216856284,,,,,,,
c_china_city,,,,,,合肥市,2015.0,新一线,1.0338554521250751,0.5069225206537897,,,,,,,
c_china_city,,,,,,合肥市,2016.0,新一线,1.036145672263243,3.464295021579247,,,,,,,
c_china_city,,,,,,吉安市,2016.0,三线,1.1702441835313535,0.2948419296599348,,,,,,,
c_china_city,,,,,,吉林市,2012.0,三线,0.7818185080344293,0.232346694612966,,,,,,,
c_china_city,,,,,,吉林市,2013.0,三线,0.737105564169045,-0.0296676562888956,,,,,,,
c_china_city,,,,,,吉林市,2016.0,三线,1.1432024849632716,0.4097508799834449,,,,,,,
c_china_city,,,,,,呼和浩特市,2012.0,二线,0.5257092306014373,-0.0430137267028237,,,,,,,
c_china_city,,,,,,呼和浩特市,2013.0,二线,0.5552063725146567,0.1577219347818962,,,,,,,
c_china_city,,,,,,呼和浩特市,2014.0,二线,0.6000088802888685,-0.8931208953633872,,,,,,,
c_china_city,,,,,,呼和浩特市,2015.0,二线,0.5237421210670049,0.444512750588234,,,,,,,
c_china_city,,,,,,呼和浩特市,2016.0,二线,0.5826745105700484,0.9312743928099544,,,,,,,
c_china_city,,,,,,咸宁市,2016.0,,1.2981780437392254,0.0825200631466345,,,,,,,
c_china_city,,,,,,咸阳市,2016.0,三线,1.504198296089035,-0.2667781823355165,,,,,,,
c_china_city,,,,,,哈尔滨市,2012.0,二线,0.8680817864560479,-0.2415154684909592,,,,,,,
c_china_city,,,,,,哈尔滨市,2013.0,二线,0.9846445592888458,0.5313156314669261,,,,,,,
c_china_city,,,,,,哈尔滨市,2014.0,二线,0.7820075255546671,0.8382980528883996,,,,,,,
c_china_city,,,,,,哈尔滨市,2015.0,二线,0.7990821899641708,0.7253421488670363,,,,,,,
c_china_city,,,,,,哈尔滨市,2016.0,二线,0.8260204979354957,-0.9284782687828514,,,,,,,
c_china_city,,,,,,唐山市,2012.0,,0.514731441116536,-0.5084982649090082,,,,,,,
c_china_city,,,,,,唐山市,2013.0,,0.5841761876676128,0.7473511970426452,,,,,,,
c_china_city,,,,,,唐山市,2014.0,,0.6660304351806337,-0.1885584590622063,,,,,,,
c_china_city,,,,,,唐山市,2015.0,,0.7445243083875251,-0.3695297897194885,,,,,,,
c_china_city,,,,,,唐山市,2016.0,,0.7828810435465413,0.1996668764271221,,,,,,,
c_china_city,,,,,,商丘市,2016.0,,1.001011686476933,0.088184835747369,,,,,,,
c_china_city,,,,,,嘉兴市,2016.0,二线,0.7224432268948086,1.6674070134376884,,,,,,,
c_china_city,,,,,,大同市,2016.0,,1.1823214006836835,0.0916069331539431,,,,,,,
c_china_city,,,,,,大庆市,2016.0,三线,0.2165743404672584,0.3419870509077499,,,,,,,
c_china_city,,,,,,大连市,2011.0,二线,0.7446491020061127,0.2980340079406426,,,,,,,
c_china_city,,,,,,大连市,2012.0,二线,0.8031604391515624,-0.0754458743619437,,,,,,,
c_china_city,,,,,,大连市,2013.0,二线,0.8467240771507126,0.3022233852858894,,,,,,,
c_china_city,,,,,,大连市,2014.0,二线,0.884797330928498,-0.1524537933359733,,,,,,,
c_china_city,,,,,,大连市,2015.0,二线,0.5896913697298461,-0.0194197477882617,,,,,,,
c_china_city,,,,,,大连市,2016.0,二线,0.2109124169895867,0.6944252108208329,,,,,,,
c_china_city,,,,,,天津市,2011.0,新一线,0.661847703426465,0.4650511834473945,,,,,,,
c_china_city,,,,,,天津市,2012.0,新一线,0.6468385621705801,0.210833185703428,,,,,,,
c_china_city,,,,,,天津市,2013.0,新一线,0.7022212209189043,0.9375793286615268,,,,,,,
c_china_city,,,,,,天津市,2014.0,新一线,0.7392583867290056,0.4001401675695415,,,,,,,
c_china_city,,,,,,天津市,2015.0,新一线,0.7889617908610314,0.4121052242546461,,,,,,,
c_china_city,,,,,,天津市,2016.0,新一线,0.7132279083654313,3.119018552735843,,,,,,,
c_china_city,,,,,,太原市,2012.0,二线,0.5713451043305351,0.6318481779142312,,,,,,,
c_china_city,,,,,,太原市,2013.0,二线,0.6924274155566618,0.8605549582152924,,,,,,,
c_china_city,,,,,,太原市,2014.0,二线,0.6898552114883867,0.4767108595104242,,,,,,,
c_china_city,,,,,,太原市,2015.0,二线,0.7405313013258076,-0.0130797481881024,,,,,,,
c_china_city,,,,,,太原市,2016.0,二线,0.6860567102262837,0.4470846246436105,,,,,,,
c_china_city,,,,,,威海市,2012.0,,0.5621421299821203,0.5989104417648466,,,,,,,
c_china_city,,,,,,威海市,2013.0,,0.7544890163117869,0.3208337532757421,,,,,,,
c_china_city,,,,,,威海市,2014.0,,0.7989583706645067,0.0647506621479241,,,,,,,
c_china_city,,,,,,威海市,2015.0,,0.8474645602134883,-0.0817203914637311,,,,,,,
c_china_city,,,,,,威海市,2016.0,,0.8963802378432228,0.2139522277545373,,,,,,,
c_china_city,,,,,,娄底市,2016.0,,0.8570027282285412,0.3443712004463825,,,,,,,
c_china_city,,,,,,孝感市,2016.0,,1.2046946451109604,0.253085736915455,,,,,,,
c_china_city,,,,,,宁波市,2012.0,新一线,0.4407983620811404,0.4279028491305403,,,,,,,
c_china_city,,,,,,宁波市,2013.0,新一线,0.4801538314530533,0.592711477045615,,,,,,,
c_china_city,,,,,,宁波市,2014.0,新一线,0.524220102446669,-0.4252335612655293,,,,,,,
c_china_city,,,,,,宁波市,2015.0,新一线,0.5630680319355379,-1.1204623987657092,,,,,,,
c_china_city,,,,,,宁波市,2016.0,新一线,0.5711619390250685,1.399758982805955,,,,,,,
c_china_city,,,,,,安庆市,2016.0,,0.99395269366532,-0.8916365470978175,,,,,,,
c_china_city,,,,,,安康市,2016.0,,1.0294685390816238,0.3572656143407864,,,,,,,
c_china_city,,,,,,安阳市,2016.0,,1.0221701669099197,0.1381452404216234,,,,,,,
c_china_city,,,,,,宜宾市,2016.0,三线,0.8690106650549417,0.4046376820678976,,,,,,,
c_china_city,,,,,,宜昌市,2012.0,三线,0.6206067224948085,0.6069118232316422,,,,,,,
c_china_city,,,,,,宜昌市,2013.0,三线,0.7181946154637748,0.3874950298621196,,,,,,,
c_china_city,,,,,,宜昌市,2016.0,三线,0.8602956305130804,0.188991844757009,,,,,,,
c_china_city,,,,,,宝鸡市,2016.0,三线,1.5321958664960023,0.0094822313441551,,,,,,,
c_china_city,,,,,,宿州市,2016.0,,0.9394634577776962,0.1159768841384248,,,,,,,
c_china_city,,,,,,宿迁市,2016.0,三线,0.8760001616250978,0.3332719419243505,,,,,,,
