sim,rho_pooled,within_all_negative,paradox,a2_met,shift_strength,mean_gap,mean_abs_beta
53,0.010192063412812617,True,True,False,1.7294709271832356,0.024447639740427993,0.0739958044376513
54,-0.26339335909716877,True,False,False,1.9325870219858874,0.02189616636181928,0.10573105410176742
55,0.5081668956573775,True,True,False,1.5985156894101678,0.02266800977481702,0.0435898950869235
56,-0.22369963956238983,True,False,False,1.6702598412678757,0.011734816973084441,0.061366805662486895
57,-0.07889515081114207,True,False,False,0.7503244498445043,0.01564948124128371,0.10206365411784121
58,-0.07338996605166616,True,False,False,2.9363265384457424,0.010644999932897935,0.0520539130416999
59,-0.057467097320362814,False,False,False,2.5967284521175245,0.012410727090055251,0.08343626947171598
60,0.2445610107108162,True,True,False,1.7455571827486653,0.025056559077699627,0.0454736876258987
61,-0.048672445701868926,True,False,False,1.4898995758889955,0.017614880870448445,0.09419619026410402
62,-0.042483793142848836,True,False,False,1.6826391184763019,0.02245670784759729,0.06824886825783727
63,-0.05492700652786839,True,False,False,1.8684909156294114,0.01631666167292978,0.10089433110179499
64,0.07122039355954317,True,True,False,1.3405876663395453,0.020102742967911532,0.058037910484501576
65,-0.4946092544825238,True,False,False,0.7480646714140702,0.01489426179708067,0.11308097283093908
66,-0.5926343886307261,True,False,False,2.767135684279937,0.018363473751627914,0.10565190947467981
67,-0.18850420743101068,True,False,False,2.9503589730274626,0.018036386214800398,0.07539039230868122
68,0.29698973870300427,True,True,False,1.277484911650609,0.01699189920782586,0.07184066013588276
69,0.09968776986639484,True,True,False,1.2945997893167638,0.0176428940226767,0.04808647908485206
70,-0.2593143481502006,True,False,False,0.6144200528345218,0.018851385614954332,0.07660217807331927
71,-0.38365809585171107,True,False,False,1.1246588769713335,0.016675068951023612,0.06400986272996151
72,-0.6847407747862112,True,False,False,1.1364087259958064,0.014367646461386356,0.09507064147004599
73,0.16471042391364038,False,False,False,2.997867510460862,0.017924547376754505,0.04097622864052762
74,-0.40522012910246635,False,False,False,1.294263422107473,0.013007944398685132,0.06859263918854855
75,0.2397926732029508,False,False,False,1.2872448725919408,0.018209945471621875,0.05337619819275453
76,0.4231425118080531,True,True,False,2.4735664904674586,0.024367296317820503,0.07359910266764311
77,0.16358673382554662,True,True,False,2.857436977891853,0.016291610137557925,0.08468123504462442
78,0.10537686770296231,True,True,False,2.83372850861022,0.017990019586964615,0.07616113258086085
79,0.07728818206005864,True,True,False,2.4979148296881757,0.024506505852852568,0.11612174698891188
80,-0.10286228903825022,True,False,False,2.5903502772241565,0.0224963420873045,0.1168020956001091
81,-0.1947797576434094,True,False,False,2.1648996157160325,0.022001423199283953,0.06684779774689638
82,-0.23368501913800524,True,False,False,1.7210319847679556,0.013046807866267033,0.07439847113528722
83,-0.24844720430918946,True,False,False,1.4129875599004067,0.01665714080036164,0.07763712072956086
84,0.24165301229068747,False,False,False,2.379850514194993,0.01888148284577321,0.09419025213576572
85,-0.39373102749465566,True,False,False,0.9288371560428939,0.018668825869108955,0.07396786473380865
86,-0.0487174489396746,True,False,False,2.3768894724115635,0.023761861394493326,0.10751864968864172
87,-0.47927963831897974,False,False,False,2.477585162533799,0.015632032979198993,0.07791622537560017
88,0.17888232076450217,True,True,False,1.919818774661804,0.01776696515434719,0.061442397968240914
89,0.14659478485186098,True,True,False,0.6942362189044461,0.021857330818875004,0.10308021933101522
90,-0.10875452702030869,True,False,False,1.847239945986238,0.02308884058679349,0.07958083431932673
91,-0.2941130686745666,True,False,False,1.140064159386183,0.022310120337045963,0.09439585261080947
92,-0.2886621932876915,True,False,False,1.847322195259428,0.013393598838312147,0.10745987345523556
93,-0.22481256527791268,True,False,False,2.684739272021977,0.012061646439888154,0.06895368437951914
94,0.434269726214293,False,False,False,2.3163216066156727,0.01871940775061127,0.06701522586812331
95,-0.16558131818558988,True,False,False,1.7351482974453827,0.020105368552106876,0.10406639727623392
96,0.07930370774299726,True,True,False,2.2213819480699994,0.022587708989426903,0.06488159283843786
97,0.0422137546997786,True,True,False,1.5578573933536335,0.02344771413113671,0.0943022774850788
98,0.32872083079558895,True,True,False,2.884060270240872,0.021366895503457634,0.06274721561442842
99,-0.5936340540923098,True,False,False,2.862075706970872,0.017065596882738152,0.09906084555893938
100,-0.08432154013999765,True,False,False,1.2550976487906165,0.01795426338454333,0.09750027707601976
101,0.3394989234994733,False,False,False,1.497232261334906,0.018785042002023595,0.07352211385325733
102,0.007087186315749758,True,True,False,2.4426384007071147,0.015928195065824383,0.0761857553662736
103,0.08537237099060775,True,True,False,1.2534051811512659,0.01594333145403296,0.08965243614055243
104,-0.07048525580634424,True,False,False,1.7836632726863604,0.016850240754290757,0.07140455765668975
105,-0.19404772505473028,True,False,False,1.060812416156435,0.020666670838003987,0.06693047669728433
106,0.22572858977476934,True,True,False,1.6408494176237678,0.015031546136960878,0.05186191569541547
107,-0.25893471602390133,True,False,False,2.1536662501092363,0.02019382291986344,0.0713466635398945
108,-0.4981432026343777,True,False,False,0.8070686620506493,0.017332939404938866,0.07328917156508394
109,-0.11693810028982533,True,False,False,1.1848203977341791,0.01627796369754297,0.08453546056018259
110,-0.24572171891147848,True,False,False,1.5116803793434297,0.018477223815046552,0.08136170373462004
111,-0.2856963252182563,True,False,False,2.362149518729988,0.009305184871541588,0.06223112399189986
112,-0.4640637484684884,True,False,False,1.8469092714961484,0.012009029783416081,0.07561700093384387
113,0.24185895182726452,False,False,False,1.3956388704558373,0.01988761569227156,0.07068533736182123
114,-0.2860148305706628,True,False,False,0.7062007465994711,0.018120964906510054,0.08119810266710817
115,-0.3949824044182865,True,False,False,0.5930304790634375,0.015084820814660121,0.06724908003556412
116,-0.1716167984487806,True,False,False,0.8759607191002151,0.019688344616823835,0.0765567103409982
117,0.030115376138375623,True,True,False,1.274828233701777,0.013638899974569319,0.06770109437576276
118,-0.15658405598494735,True,False,False,1.7065712785976643,0.025342566338914647,0.08815204871995544
119,-0.4109750773416619,True,False,False,0.5798932817502727,0.02059048409373695,0.09829982563798378
120,0.3814665589129377,True,True,False,0.7651279083922795,0.019583608772330282,0.06574282150736611
121,0.0334275963051285,True,True,False,2.5922758083356605,0.020213344085641374,0.07981976045331193
122,-0.03575315461006495,True,False,False,2.215304800286675,0.01754325746596928,0.10094843598537956
123,-0.12985713079544248,True,False,False,2.579936134398587,0.02110446657959113,0.07557763416000543
124,-0.23236014978751637,True,False,False,2.971865504173847,0.014123034313686082,0.07537865279453516
125,0.17381649441216604,False,False,False,1.3938025165223737,0.019823539328804183,0.05792139862127411
126,-0.1995300010409969,True,False,False,1.8753058961023703,0.016662456614568232,0.09809400250901869
127,-0.023682804252502007,True,False,False,2.8834433726222577,0.0212296578679106,0.09583109276229541
